id,title,subtitle,credits,script,dataPath,imgPath,caption,chartType,xAxis,yAxis,URL,topic
28,Advertiser expenditure for evening network news,Gross advertiser expenditures for network TV evening news programs,"Note: The above figures only include Monday through Friday telecasts of ABC's World News Tonight, CBS Evening News and NBC Nightly News. These figures reflect total payments by advertisers for purchase of commercial time. A proportion of these payments are paid as commissions or fees to media buyers, and the balance are recognized by the network as revenue.
Source: Kantar Media.","chart[69451] = [{""colors"":[""#733D47"",""#BC7B86"",""#D1A8AF"",""#E8D3D7"",""#552E35""],""plotOptions"":{""line"":{""marker"":{""fillColor"":null,""lineWidth"":2,""lineColor"":null,""enabled"":true}},""area"":{""lineWidth"":0,""marker"":{""enabled"":true}},""scatter"":{""marker"":{""fillColor"":null}},""bar"":{""stacking"":null},""column"":{""stacking"":null},""pie"":{""visible"":true,""dataLabels"":{""enabled"":true}}},""chart"":{""type"":""line"",""zoomType"":""none""},""subtitle"":{""text"":""Gross advertiser expenditures for network TV evening news programs""},""xAxis"":{""title"":[],""type"":""datetime""},""yAxis"":{""title"":[],""max"":""1250000000""},""misc"":{""inlineTooltips"":false},""html"":{""waypoints"":false,""data_tab"":""Data"",""chart_tab"":""Chart"",""share_tab"":""Share"",""height"":""400px"",""iframe"":true,""iframe_tab"":""Embed"",""iframe_text"":""Copy and paste the below iframe code into your own website to embed this chart."",""title"":""Advertiser expenditure for evening network news"",""subtitle"":""Gross advertiser expenditures for network TV evening news programs"",""URL"":""https:\/\/www.journalism.org\/chart\/sotnm-network-advertiser-expenditure-for-evening-network-news\/"",""id"":69451,""slug"":""sotnm-network-advertiser-expenditure-for-evening-network-news"",""domain"":""https:\/\/www.journalism.org"",""credits"":""Note: The above figures only include Monday through Friday telecasts of ABC's World News Tonight, CBS Evening News and NBC Nightly News. These figures reflect total payments by advertisers for purchase of commercial time. A proportion of these payments are paid as commissions or fees to media buyers, and the balance are recognized by the network as revenue.<br> Source: Kantar Media."",""creditsURL"":false,""creditText"":"" ""}}];",out/two_col/data/28.csv,out/two_col/imgs/28.png,"Combined advertiser expenditures for the evening broadcast news programs, ABC’s World News Tonight, CBS Evening News and NBC Nightly News, were $518 million in 2018, a decline of 6% compared with 2017, according to estimates from Kantar Media. (This data reflects the amount of money paid by advertisers, rather than the amount of revenue actually earned by networks.)",line,Year,Average expenditure,https://www.journalism.org/fact-sheet/network-news/,Journalism & Media
29,Advertiser expenditure for morning network news,Gross advertiser expenditures for network TV morning news programs,"Note: The above figures only include Monday through Friday telecasts of ABC's Good Morning America, CBS This Morning and NBC's Today. These figures reflect total payments by advertisers for purchase of commercial time. A proportion of these payments are paid as commissions or fees to media buyers, and the balance are recognized by the network as revenue.
Source: Kantar Media.","chart[69452] = [{""colors"":[""#733D47"",""#BC7B86"",""#D1A8AF"",""#E8D3D7"",""#552E35""],""plotOptions"":{""line"":{""marker"":{""fillColor"":null,""lineWidth"":2,""lineColor"":null,""enabled"":true}},""area"":{""lineWidth"":0,""marker"":{""enabled"":true}},""scatter"":{""marker"":{""fillColor"":null}},""bar"":{""stacking"":null},""column"":{""stacking"":null},""pie"":{""visible"":true,""dataLabels"":{""enabled"":true}}},""chart"":{""type"":""line"",""zoomType"":""none""},""subtitle"":{""text"":""Gross advertiser expenditures for network TV morning news programs""},""xAxis"":{""title"":[],""type"":""datetime""},""yAxis"":{""title"":[],""max"":""1250000000""},""misc"":{""inlineTooltips"":false},""html"":{""waypoints"":false,""data_tab"":""Data"",""chart_tab"":""Chart"",""share_tab"":""Share"",""height"":""400px"",""iframe"":true,""iframe_tab"":""Embed"",""iframe_text"":""Copy and paste the below iframe code into your own website to embed this chart."",""title"":""Advertiser expenditure for morning network news"",""subtitle"":""Gross advertiser expenditures for network TV morning news programs"",""URL"":""https:\/\/www.journalism.org\/chart\/sotnm-network-advertiser-expenditure-for-morning-network-news\/"",""id"":69452,""slug"":""sotnm-network-advertiser-expenditure-for-morning-network-news"",""domain"":""https:\/\/www.journalism.org"",""credits"":""Note: The above figures only include Monday through Friday telecasts of ABC's Good Morning America, CBS This Morning and NBC's Today. These figures reflect total payments by advertisers for purchase of commercial time. A proportion of these payments are paid as commissions or fees to media buyers, and the balance are recognized by the network as revenue.<br> Source: Kantar Media."",""creditsURL"":false,""creditText"":"" ""}}];",out/two_col/data/29.csv,out/two_col/imgs/29.png,"The three networks’ advertiser expenditures for the morning news programs saw a slight increase in 2018, increasing 3% to $1.13 billion from $1.09 billion.",line,Year,Average expenditure,https://www.journalism.org/fact-sheet/network-news/,Journalism & Media
30,Retransmission fee revenue for U.S. local TV stations,Total retransmission fee revenue (in U.S. dollars),"* 2019-2023 numbers are projections.
Note: Broadcast retransmission fees include owned and operated (O&O), affiliate station, reverse retransmissions and estimated broadcast station carriage fees from the Virtual Service Providers or vMVPDs as of June 2018. Numbers are updated annually.
Source: Estimates and projections by Kagan, a media research group within the TMT offering of S&P Global Market Intelligence.","chart[63373] = [{""colors"":[""#733D47"",""#BC7B86"",""#D1A8AF"",""#E8D3D7"",""#552E35""],""plotOptions"":{""line"":{""marker"":{""fillColor"":null,""lineWidth"":2,""lineColor"":null,""enabled"":true}},""area"":{""lineWidth"":0,""marker"":{""enabled"":true}},""scatter"":{""marker"":{""fillColor"":null}},""bar"":{""stacking"":null},""column"":{""stacking"":null},""pie"":{""visible"":true,""dataLabels"":{""enabled"":true}}},""chart"":{""type"":""line"",""zoomType"":""none""},""subtitle"":{""text"":""Total retransmission fee revenue (in U.S. dollars)""},""xAxis"":{""title"":[],""type"":""datetime"",""plotBands"":[{""color"":""#F5F4EF"",""from"":1509310000000,""to"":1672355000000,""label"":{""text"":""Projected"",""verticalAlign"":""top"",""textAlign"":""center"",""style"":{""color"":""#6d6e71""}}}]},""yAxis"":{""title"":[]},""misc"":{""inlineTooltips"":false},""html"":{""waypoints"":false,""data_tab"":""Data"",""chart_tab"":""Chart"",""share_tab"":""Share"",""height"":""400px"",""iframe"":true,""iframe_tab"":""Embed"",""iframe_text"":""Copy and paste the below iframe code into your own website to embed this chart."",""title"":""Retransmission fee revenue for U.S. local TV stations"",""subtitle"":""Total retransmission fee revenue (in U.S. dollars)"",""URL"":""https:\/\/www.journalism.org\/chart\/sotnm-local-tv-u-s-local-tv-station-retransmission-fee-revenue\/"",""id"":63373,""slug"":""sotnm-local-tv-u-s-local-tv-station-retransmission-fee-revenue"",""domain"":""https:\/\/www.journalism.org"",""credits"":""* 2019-2023 numbers are projections.<br>Note: Broadcast retransmission fees include owned and operated (O&O), affiliate station, reverse retransmissions and estimated broadcast station carriage fees from the Virtual Service Providers or vMVPDs as of June 2018. Numbers are updated annually.<br> Source: Estimates and projections by Kagan, a media research group within the TMT offering of S&P Global Market Intelligence."",""creditsURL"":false,""creditText"":"" ""}}];",out/two_col/data/30.csv,out/two_col/imgs/30.png,"Revenue from retransmission fees – the fees paid by cable and satellite systems to carry local channels – has been increasing rapidly in the past decade, according to estimates from Kagan, a media research group in S&P Global Market Intelligence. In 2018, retransmission revenue reached almost $10.2 billion, up from $9.4 billion in 2017; Kagan projects that this figure will reach $12.2 billion by 2023.",line,Year,Revenue,https://www.journalism.org/fact-sheet/local-tv-news/,Journalism & Media
31,Political advertising revenue at local TV companies,Total political advertising revenue for six publicly held local TV station companies (in U.S. dollars),"Note: Political advertising revenue includes both local and national political advertising. Meredith was not included because it operates in a different fiscal year from the others. Data for 2012-2016 includes Media General, which was purchased by Nexstar in 2017.
Source: Individual company Securities and Exchange Commission filings for the full year ending on Dec. 31. Companies included here are: Tribune, Nexstar, Sinclair, Tegna, Gray and Scripps.","chart[63375] = [{""colors"":[""#733D47"",""#BC7B86"",""#D1A8AF"",""#E8D3D7"",""#552E35""],""plotOptions"":{""line"":{""marker"":{""fillColor"":null,""lineWidth"":2,""lineColor"":null,""enabled"":true}},""area"":{""lineWidth"":0,""marker"":{""enabled"":true}},""scatter"":{""marker"":{""fillColor"":null}},""bar"":{""stacking"":null},""column"":{""stacking"":null},""pie"":{""visible"":true,""dataLabels"":{""enabled"":true}}},""chart"":{""type"":""line"",""zoomType"":""none""},""subtitle"":{""text"":""Total political advertising revenue for six publicly held local TV station companies (in U.S. dollars)""},""xAxis"":{""title"":[],""type"":""datetime""},""yAxis"":{""title"":[]},""misc"":{""inlineTooltips"":false},""html"":{""waypoints"":false,""data_tab"":""Data"",""chart_tab"":""Chart"",""share_tab"":""Share"",""height"":""400px"",""iframe"":true,""iframe_tab"":""Embed"",""iframe_text"":""Copy and paste the below iframe code into your own website to embed this chart."",""title"":""Political advertising revenue at local TV companies"",""subtitle"":""Total political advertising revenue for six publicly held local TV station companies (in U.S. dollars)"",""URL"":""https:\/\/www.journalism.org\/chart\/sotnm-local-tv-political-advertising-revenue-at-local-tv-companies\/"",""id"":63375,""slug"":""sotnm-local-tv-political-advertising-revenue-at-local-tv-companies"",""domain"":""https:\/\/www.journalism.org"",""credits"":""Note: Political advertising revenue includes both local and national political advertising. Meredith was not included because it operates in a different fiscal year from the others. Data for 2012-2016 includes Media General, which was purchased by Nexstar in 2017.<br> Source: Individual company Securities and Exchange Commission filings for the full year ending on Dec. 31. Companies included here are: Tribune, Nexstar, Sinclair, Tegna, Gray and Scripps."",""creditsURL"":false,""creditText"":"" ""}}];",out/two_col/data/31.csv,out/two_col/imgs/31.png,"Six major publicly held local TV station companies – Tribune, Nexstar, Sinclair, Tegna, Gray and Scripps – report political advertising revenue separately from other types of revenues in their Securities and Exchange Commission filings. In 2018, the six companies reported a total of $1.2 billion in political advertising revenue, compared with $843 million in 2016 and $696 million in 2014, the two most recent election years. (Data points for 2012 to 2016 also include Media General, which was purchased by Nexstar in 2017.)",line,Year,Revenue,https://www.journalism.org/fact-sheet/local-tv-news/,Journalism & Media
32,Number of hours dedicated to local TV news,Average number of local TV news hours per weekday,"Note: Based on survey responses of news directors at all commercial local TV stations in the fourth quarter of each year among operating, non-satellite television stations.
Source: RTDNA/Hofstra University Surveys.","chart[63378] = [{""colors"":[""#733D47"",""#BC7B86"",""#D1A8AF"",""#E8D3D7"",""#552E35""],""plotOptions"":{""line"":{""marker"":{""fillColor"":null,""lineWidth"":2,""lineColor"":null,""enabled"":true}},""area"":{""lineWidth"":0,""marker"":{""enabled"":true}},""scatter"":{""marker"":{""fillColor"":null}},""bar"":{""stacking"":null},""column"":{""stacking"":null},""pie"":{""visible"":true,""dataLabels"":{""enabled"":true}}},""chart"":{""type"":""line"",""zoomType"":""none""},""subtitle"":{""text"":""Average number of local TV news hours per weekday""},""xAxis"":{""title"":[],""type"":""datetime""},""yAxis"":{""title"":[]},""misc"":{""inlineTooltips"":false},""html"":{""waypoints"":false,""data_tab"":""Data"",""chart_tab"":""Chart"",""share_tab"":""Share"",""height"":""400px"",""iframe"":true,""iframe_tab"":""Embed"",""iframe_text"":""Copy and paste the below iframe code into your own website to embed this chart."",""title"":""Number of hours dedicated to local TV news"",""subtitle"":""Average number of local TV news hours per weekday"",""URL"":""https:\/\/www.journalism.org\/chart\/sotnm-local-tv-number-of-hours-dedicated-to-local-tv-news\/"",""id"":63378,""slug"":""sotnm-local-tv-number-of-hours-dedicated-to-local-tv-news"",""domain"":""https:\/\/www.journalism.org"",""credits"":""Note: Based on survey responses of news directors at all commercial local TV stations in the fourth quarter of each year among operating, non-satellite television stations.<br> Source: RTDNA\/Hofstra University Surveys."",""creditsURL"":false,""creditText"":"" ""}}];",out/two_col/data/32.csv,out/two_col/imgs/32.png,"The average amount of weekday local TV news programming was increased slightly in 2018, according to the RTDNA/Hofstra University survey. Local TV stations dedicated an average of 5.9 hours to news programming per weekday in 2018, up slightly from 5.6 hours in 2017.",line,Year,Hours,https://www.journalism.org/fact-sheet/local-tv-news/,Journalism & Media
33,Mergers and acquisitions of local TV stations,Total value of local TV station mergers and acquisitions (in U.S. dollars),"Note: Transaction totals include all that are announced as of the end of December for each year. Numbers from the previous year may be updated to reflect new information.
Source: Pew Research Center analysis of MEDIA Access Pro & BIA Advisory Services data.","chart[63380] = [{""colors"":[""#733D47"",""#BC7B86"",""#D1A8AF"",""#E8D3D7"",""#552E35""],""plotOptions"":{""line"":{""marker"":{""fillColor"":null,""lineWidth"":2,""lineColor"":null,""enabled"":true}},""area"":{""lineWidth"":0,""marker"":{""enabled"":true}},""scatter"":{""marker"":{""fillColor"":null}},""bar"":{""stacking"":null},""column"":{""stacking"":null},""pie"":{""visible"":true,""dataLabels"":{""enabled"":true}}},""chart"":{""type"":""line"",""zoomType"":""none""},""subtitle"":{""text"":""Total value of local TV station mergers and acquisitions (in U.S. dollars)""},""xAxis"":{""title"":[],""type"":""datetime""},""yAxis"":{""title"":[]},""misc"":{""inlineTooltips"":false},""html"":{""waypoints"":false,""data_tab"":""Data"",""chart_tab"":""Chart"",""share_tab"":""Share"",""height"":""400px"",""iframe"":true,""iframe_tab"":""Embed"",""iframe_text"":""Copy and paste the below iframe code into your own website to embed this chart."",""title"":""Mergers and acquisitions of local TV stations"",""subtitle"":""Total value of local TV station mergers and acquisitions (in U.S. dollars)"",""URL"":""https:\/\/www.journalism.org\/chart\/sotnm-local-tv-mergers-and-acquisitions-local-tv-stations\/"",""id"":63380,""slug"":""sotnm-local-tv-mergers-and-acquisitions-local-tv-stations"",""domain"":""https:\/\/www.journalism.org"",""credits"":""Note: Transaction totals include all that are announced as of the end of December for each year. Numbers from the previous year may be updated to reflect new information.<br> Source: Pew Research Center analysis of MEDIA Access Pro & BIA Advisory Services data."",""creditsURL"":false,""creditText"":"" ""}}];",out/two_col/data/33.csv,out/two_col/imgs/33.png,"In 2018, 144 local TV stations changed hands at a cost of $8.8 billion, as annually reported by BIA Advisory Services. This is up from $4.7 billion across 107 stations that experienced changes in ownership in 2017.)",line,Year,Revenue,https://www.journalism.org/fact-sheet/local-tv-news/,Journalism & Media
34,Smartphone dependency over time,% of U.S. adults who do not use broadband at home but own smartphones,Source: Surveys conducted 2013-2019. Data for each year based on a pooled analysis of all surveys containing broadband and smartphone questions fielded during that year.,"chart[17866] = [{""colors"":[""#006699"",""#7591b7"",""#9daecb"",""#c9d1e1"",""#002748""],""plotOptions"":{""line"":{""marker"":{""fillColor"":null,""lineWidth"":2,""lineColor"":null,""enabled"":false}},""area"":{""lineWidth"":0,""marker"":{""enabled"":false}},""scatter"":{""marker"":{""fillColor"":null}},""bar"":{""stacking"":null},""column"":{""stacking"":null},""pie"":{""visible"":true,""dataLabels"":{""enabled"":true}}},""chart"":{""type"":""line"",""zoomType"":""none""},""subtitle"":{""text"":""% of U.S. adults who do not use broadband at home but own smartphones""},""xAxis"":{""title"":[],""type"":""datetime""},""yAxis"":{""title"":[],""max"":""50""},""misc"":{""inlineTooltips"":false},""html"":{""waypoints"":false,""data_tab"":""Data"",""chart_tab"":""Chart"",""share_tab"":""Share"",""height"":""400px"",""iframe"":true,""iframe_tab"":""Embed"",""iframe_text"":""Copy and paste the below iframe code into your own website to embed this chart."",""title"":""Smartphone dependency"",""subtitle"":""% of U.S. adults who do not use broadband at home but own smartphones"",""URL"":""https:\/\/www.pewresearch.org\/internet\/chart\/smartphone-dependency\/"",""id"":17866,""slug"":""smartphone-dependency"",""domain"":""https:\/\/www.pewresearch.org\/internet"",""credits"":""Source: Surveys conducted 2013-2019. Data for each year based on a pooled analysis of all surveys containing broadband and smartphone questions fielded during that year."",""creditsURL"":false,""creditText"":"" ""}}];",out/two_col/data/34.csv,out/two_col/imgs/34.png,"A growing share of Americans now use smartphones as their primary means of online access at home. Today roughly one-in-five American adults are “smartphone-only” internet users – meaning they own a smartphone, but do not have traditional home broadband service.",line,Year,U.S. adults,https://www.pewresearch.org/internet/fact-sheet/mobile/,Internet & Technology
35,Internet use over time,% of U.S. adults who use the internet,Source: Surveys conducted 2000-2019. Data for each year based on a pooled analysis of all surveys conducted during that year.,"chart[17136] = [{""colors"":[""#006699"",""#7591b7"",""#9daecb"",""#c9d1e1"",""#002748""],""plotOptions"":{""line"":{""marker"":{""fillColor"":null,""lineWidth"":2,""lineColor"":null,""enabled"":false}},""area"":{""lineWidth"":0,""marker"":{""enabled"":false}},""scatter"":{""marker"":{""fillColor"":null}},""bar"":{""stacking"":null},""column"":{""stacking"":null},""pie"":{""visible"":true,""dataLabels"":{""enabled"":true}}},""chart"":{""type"":""line"",""zoomType"":""none""},""subtitle"":{""text"":""% of U.S. adults who use the internet""},""xAxis"":{""title"":[],""type"":""datetime""},""yAxis"":{""title"":[],""max"":""100""},""misc"":{""inlineTooltips"":false},""html"":{""waypoints"":false,""data_tab"":""Data"",""chart_tab"":""Chart"",""share_tab"":""Share"",""height"":""400px"",""iframe"":true,""iframe_tab"":""Embed"",""iframe_text"":""Copy and paste the below iframe code into your own website to embed this chart."",""title"":""Internet use"",""subtitle"":""% of U.S. adults who use the internet"",""URL"":""https:\/\/www.pewresearch.org\/internet\/chart\/internet-use\/"",""id"":17136,""slug"":""internet-use"",""domain"":""https:\/\/www.pewresearch.org\/internet"",""credits"":""Source: Surveys conducted 2000-2019. Data for each year based on a pooled analysis of all surveys conducted during that year."",""creditsURL"":false,""creditText"":"" ""}}];",out/two_col/data/35.csv,out/two_col/imgs/35.png,"When Pew Research Center began systematically tracking Americans’ internet usage in early 2000, about half of all adults were already online. Today, nine-in-ten American adults use the internet.",line,Year,U.S. adults,https://www.pewresearch.org/internet/fact-sheet/internet-broadband/,Internet & Technology
36,Home broadband use over time,% of U.S. adults who are home broadband users,"Note: The Center has used several different question wordings to identify broadband users in recent years, which may account for some variance in broadband adoption figures between 2015 and 2018. Our survey conducted in July 2015 used a directly comparable question wording to the one conducted in January 2018.
Source: Surveys conducted 2000-2019.","chart[17070] = [{""colors"":[""#006699"",""#7591b7"",""#9daecb"",""#c9d1e1"",""#002748""],""plotOptions"":{""line"":{""marker"":{""fillColor"":null,""lineWidth"":2,""lineColor"":null,""enabled"":false}},""area"":{""lineWidth"":0,""marker"":{""enabled"":false}},""scatter"":{""marker"":{""fillColor"":null}},""bar"":{""stacking"":null},""column"":{""stacking"":null},""pie"":{""visible"":true,""dataLabels"":{""enabled"":true}}},""chart"":{""type"":""line"",""zoomType"":""none""},""subtitle"":{""text"":""% of U.S. adults who are home broadband users""},""xAxis"":{""title"":[],""type"":""datetime""},""yAxis"":{""title"":[]},""misc"":{""inlineTooltips"":false},""html"":{""waypoints"":false,""data_tab"":""Data"",""chart_tab"":""Chart"",""share_tab"":""Share"",""height"":""400px"",""iframe"":true,""iframe_tab"":""Embed"",""iframe_text"":""Copy and paste the below iframe code into your own website to embed this chart."",""title"":""Home broadband use"",""subtitle"":""% of U.S. adults who are home broadband users"",""URL"":""https:\/\/www.pewresearch.org\/internet\/chart\/home-broadband-use\/"",""id"":17070,""slug"":""home-broadband-use"",""domain"":""https:\/\/www.pewresearch.org\/internet"",""credits"":""Note: The Center has used several different question wordings to identify broadband users in recent years, which may account for some variance in broadband adoption figures between 2015 and 2018. Our survey conducted in July 2015 used a directly comparable question wording to the one conducted in January 2018.<br>Source: Surveys conducted 2000-2019."",""creditsURL"":false,""creditText"":"" ""}}];",out/two_col/data/36.csv,out/two_col/imgs/36.png,"The proportion of American adults with high-speed broadband service at home increased rapidly between 2000 and 2010. In recent years, however, broadband adoption growth has been much more sporadic. Today, roughly three-quarters of American adults have broadband internet service at home.",line,Date,U.S. adults,https://www.pewresearch.org/internet/fact-sheet/internet-broadband/,Internet & Technology
37,Smartphone dependency over time,% of U.S. adults who do not use broadband at home but own smartphones,Source: Surveys conducted 2013-2019. Data for each year based on a pooled analysis of all surveys containing broadband and smartphone questions fielded during that year.,"chart[17866] = [{""colors"":[""#006699"",""#7591b7"",""#9daecb"",""#c9d1e1"",""#002748""],""plotOptions"":{""line"":{""marker"":{""fillColor"":null,""lineWidth"":2,""lineColor"":null,""enabled"":false}},""area"":{""lineWidth"":0,""marker"":{""enabled"":false}},""scatter"":{""marker"":{""fillColor"":null}},""bar"":{""stacking"":null},""column"":{""stacking"":null},""pie"":{""visible"":true,""dataLabels"":{""enabled"":true}}},""chart"":{""type"":""line"",""zoomType"":""none""},""subtitle"":{""text"":""% of U.S. adults who do not use broadband at home but own smartphones""},""xAxis"":{""title"":[],""type"":""datetime""},""yAxis"":{""title"":[],""max"":""50""},""misc"":{""inlineTooltips"":false},""html"":{""waypoints"":false,""data_tab"":""Data"",""chart_tab"":""Chart"",""share_tab"":""Share"",""height"":""400px"",""iframe"":true,""iframe_tab"":""Embed"",""iframe_text"":""Copy and paste the below iframe code into your own website to embed this chart."",""title"":""Smartphone dependency"",""subtitle"":""% of U.S. adults who do not use broadband at home but own smartphones"",""URL"":""https:\/\/www.pewresearch.org\/internet\/chart\/smartphone-dependency\/"",""id"":17866,""slug"":""smartphone-dependency"",""domain"":""https:\/\/www.pewresearch.org\/internet"",""credits"":""Source: Surveys conducted 2013-2019. Data for each year based on a pooled analysis of all surveys containing broadband and smartphone questions fielded during that year."",""creditsURL"":false,""creditText"":"" ""}}];",out/two_col/data/37.csv,out/two_col/imgs/37.png,"A growing share of Americans now use smartphones as their primary means of online access at home. Today, roughly one-in-five American adults are “smartphone-only” internet users – meaning they own a smartphone, but do not have traditional home broadband service.",line,Year,U.S. adults,https://www.pewresearch.org/internet/fact-sheet/internet-broadband/,Internet & Technology
38,Social media use over time,% of U.S. adults who use at least one social media site,Source: Surveys conducted 2005-2019.,"chart[17380] = [{""colors"":[""#006699"",""#7591b7"",""#9daecb"",""#c9d1e1"",""#002748""],""plotOptions"":{""line"":{""marker"":{""fillColor"":null,""lineWidth"":2,""lineColor"":null,""enabled"":false}},""area"":{""lineWidth"":0,""marker"":{""enabled"":false}},""scatter"":{""marker"":{""fillColor"":null}},""bar"":{""stacking"":null},""column"":{""stacking"":null},""pie"":{""visible"":true,""dataLabels"":{""enabled"":true}}},""chart"":{""type"":""line"",""zoomType"":""none""},""subtitle"":{""text"":""% of U.S. adults who use at least one social media site""},""xAxis"":{""title"":[],""type"":""datetime""},""yAxis"":{""title"":[]},""misc"":{""inlineTooltips"":false},""html"":{""waypoints"":false,""data_tab"":""Data"",""chart_tab"":""Chart"",""share_tab"":""Share"",""height"":""400px"",""iframe"":true,""iframe_tab"":""Embed"",""iframe_text"":""Copy and paste the below iframe code into your own website to embed this chart."",""title"":""Social media use"",""subtitle"":""% of U.S. adults who use at least one social media site"",""URL"":""https:\/\/www.pewresearch.org\/internet\/chart\/social-media-use\/"",""id"":17380,""slug"":""social-media-use"",""domain"":""https:\/\/www.pewresearch.org\/internet"",""credits"":""Source: Surveys conducted 2005-2019."",""creditsURL"":false,""creditText"":"" ""}}];",out/two_col/data/38.csv,out/two_col/imgs/38.png,"When Pew Research Center began tracking social media adoption in 2005, just 5% of American adults used at least one of these platforms. By 2011 that share had risen to half of all Americans, and today 72% of the public uses some type of social media.",line,Date,U.S. adults,https://www.pewresearch.org/internet/fact-sheet/social-media/,Internet & Technology
39,"Black U.S. House members, 1965-2019",Number of U.S. representatives who are black,"Note: Shows the total number of black representatives serving in the Congress beginning in the given year. These representatives did not necessarily serve simultaneously or for the entire Congress. The data do not include nonvoting delegates or commissioners.
Source: Biographical Directory of the United States Congress","chart[281031] = [{""chart"":{""type"":""line"",""zoomType"":""none""},""subtitle"":{""text"":""Number of U.S. representatives who are black""},""xAxis"":{""title"":[],""type"":""datetime"",""tickInterval"":2},""yAxis"":{""title"":[],""tickInterval"":5},""plotOptions"":{""line"":{""marker"":{""enabled"":false}},""area"":{""marker"":{""enabled"":false}},""bar"":{""stacking"":null},""column"":{""stacking"":null},""pie"":{""visible"":true,""dataLabels"":{""enabled"":true}}},""misc"":{""inlineTooltips"":false},""html"":{""waypoints"":""true"",""data_tab"":""Data"",""chart_tab"":""Chart"",""share_tab"":""Share"",""height"":""400px"",""iframe"":""true"",""iframe_tab"":""Embed"",""iframe_text"":""Copy and paste the below iframe code into your own website to embed this chart."",""title"":""Black U.S. House members, 1965-2019"",""subtitle"":""Number of U.S. representatives who are black"",""URL"":""https:\/\/www.pewresearch.org\/chart\/black-u-s-house-members-1965-2015\/"",""id"":281031,""slug"":""black-u-s-house-members-1965-2015"",""domain"":""https:\/\/www.pewresearch.org"",""credits"":"""",""creditsURL"":false,""creditText"":"" ""}}];",out/two_col/data/39.csv,out/two_col/imgs/39.png,"Data from the past 50 years reveal the upward yet uneven trajectory of black political leadership in America. In 1965, there were no blacks in the U.S. Senate, nor were there any black governors. And only six members of the House of Representatives were black. As of 2019, there is greater representation in some areas – 52 House members are black, putting the share of black House members (12%) on par with the share of blacks in the U.S. population overall for the first time in history. But in other areas, there has been little change (there are three black senators and no black governors).
The current 116th Congress includes 52 black representatives, a record high and a large increase since 1965. (Rep. Adriano Espaillat, a New York Democrat and the first Dominican American elected to Congress, self-identifies as a Latino of African descent. The “Biographical Directory of the United States Congress,” on which this analysis is based, does not count Espaillat among the black members of Congress.) Only one of these 52 representatives – Will Hurd of Texas – is a Republican. Two nonvoting delegates, representing the District of Columbia and the U.S. Virgin Islands, are black. Only six representatives were black in 1965, and all were Democrats.",line,Date,Black U.S. representatives,https://www.pewresearch.org/fact-tank/2019/01/18/blacks-have-made-gains-in-u-s-political-leadership-but-gaps-remain/,Social & Demographic Trends
40,Black U.S. Cabinet members,% of Cabinet positions held by blacks,"Note: Percentages are based on the maximum number of black Cabinet members serving concurrently in a given administration out of the total number of Cabinet members in that administration.
Source: The White House and Inside Gov.","chart[281034] = [{""chart"":{""type"":""bar"",""zoomType"":""none""},""subtitle"":{""text"":""% of Cabinet positions held by blacks""},""xAxis"":{""title"":[],""type"":""linear""},""yAxis"":{""title"":[],""max"":""30""},""plotOptions"":{""line"":{""marker"":{""enabled"":false}},""area"":{""marker"":{""enabled"":false}},""bar"":{""stacking"":null},""column"":{""stacking"":null},""pie"":{""visible"":true,""dataLabels"":{""enabled"":true}}},""misc"":{""inlineTooltips"":false},""html"":{""waypoints"":""true"",""data_tab"":""Data"",""chart_tab"":""Chart"",""share_tab"":""Share"",""height"":""400px"",""iframe"":""true"",""iframe_tab"":""Embed"",""iframe_text"":""Copy and paste the below iframe code into your own website to embed this chart."",""title"":""Black U.S. Cabinet members"",""subtitle"":""% of Cabinet positions held by blacks"",""URL"":""https:\/\/www.pewresearch.org\/chart\/black-u-s-cabinet-members\/"",""id"":281034,""slug"":""black-u-s-cabinet-members"",""domain"":""https:\/\/www.pewresearch.org"",""credits"":"""",""creditsURL"":false,""creditText"":"" ""}}];",out/two_col/data/40.csv,out/two_col/imgs/40.png,"The share of blacks serving in a presidential Cabinet was at or above parity with the population during the Clinton and George W. Bush administrations. But there was only one black Cabinet secretary during Obama’s first term, and the same is true so far in Donald Trump’s administration.
The highest level of black representation in a presidential Cabinet occurred during Bill Clinton’s first term, when four out of 15 Cabinet appointees were black. Throughout the rest of Clinton’s administration and George W. Bush’s two terms, the share remained high relative to the share of blacks in the U.S. population overall. When Obama took office, he appointed only one Cabinet member who was black – Attorney General Eric Holder. During Obama’s second term, there were four black Cabinet appointees. The only black Cabinet member to have been appointed by Trump so far in his presidency is Ben Carson, secretary of Housing and Urban Development.",bar,Administration,% of Cabinet positions held by blacks,https://www.pewresearch.org/fact-tank/2019/01/18/blacks-have-made-gains-in-u-s-political-leadership-but-gaps-remain/,Social & Demographic Trends
