"Day,_game_(conference)_(network)",Rating,Viewers_(in_thousands)
December_26_2018_Texas_Christian_vs_Cal_(Cactus)_(ESPN),1.6,2700
December_26_2018_Minnesota_vs_Georgia_Tech_(Detriot)_(ESPN),1.6,2686
December_31_2018_Cincinnati_vs._Virginia_Tech_(Military)_(ESPN),1.7,2663
December_31_2018_Stanford_vs._Pittsburgh_(Sun)_(CBS),1.8,2617
December_22_2018_Army_vs._Houston_(Armed_Forces)_(ESPN),1.6,2577
December_28_2018_Purdue_vs._Auburn_(Music_City)_(ESPN),1.6,2573
December_29_2018_South_Carolina_vs._Virginia_(Belk)_(ABC),1.65,2550
December_22_2018_Wake_Forest_vs._Memphis_(Birmingham)_(ESPN),1.6,2533
December_15_2018_North_Carolina_A&T_vs._Alcorn_State_(Celebration)_(ABC),1.6,2345
December_27_2018_Duke_vs._Temple_(Independence)_(ESPN),1.2,1801
December_31_2018_Northwestern_vs_Utah_(Holiday)_(FS1),0.9,1787
December_20_2018_Marshall_vs._South_Florida_(Gasparilla)_(ESPN),1.1,1750
December_22_2018_Troy_vs._Buffalo_(Mobile)_(ESPN),1,1698
December_19_2018_Ohio_vs._San_Diego_State_(Frisco)_(ESPN),0.9,1447
December_26_2019_Boston_College_vs._Boise_State_(Dallas)_(ESPN),0.9,1445
December_21_2018_Brigham_Young_vs._Western_Michigan_(Idaho)_(ESPN),0.9,1372
December_15_2018_Middle_Tennesse_State_vs_Appalachian_State_(New_Orleans)_(ESPN),0.8,1371
December_18_2018_Alabama_Birmingham_vs._Northern_Illinois_(Boca_Raton)_(ESPN),0.8,1346
December_22_2018_Louisiana_Tech_vs._Hawaii_(Hawaii)_(ESPN),0.75,1159
January_5_2019_North_Dakota_State_vs_Eastern_Washington_(FCS_Champ.)_(ESPN2),0.6,1004
December_15_2018_Georgia_Southern_vs._Eastern_Michigan_(Camellia)_(ESPN),0.6,986
December_15_2018_Utah_State_vs._North_Texas_(New_Mexico)_(ESPN),0.7,968
December_21_2018_Florida_International_vs._Toledo_(Bahamas)_(ESPN),0.56,838
December_14_2018_South_Dakota_State_vs._North_Dakota_State_(FCS_Semis)_(ESON2),0.51,846
December_15_2018_Maine_vs._Eastern_Washington_(FCS_Semis)_(ESPN2),0.28,448
