"Day,_game_(conference)_(network)",Rating,Viewers_(in_thousands)
November_26_2016_Navy_vs._SMU_(American)_(ESPNU),0,121.0
November_26_2016_FAU_vs._Mid._Tenn._(C-USA)_(beIN),0,4.0
November_29_2016_CFP_Rankings_Show_(ESPN),0,1188.0
December_2_2016_Washington_vs._Colorado_(Pac-12_Champ.)_(FOX),3.4,5671.0
December_2_2016_W._Michigan_vs._Ohio_(MAC_Champ.)_(ESPN2),0,1358.0
December_3_2016_Alabama_vs._Florida_(SEC_Champ.)_(CBS),6.6,11093.0
December_3_2016_Penn_State_vs._Wisconsin_(B1G_Champ.)_(FOX),5.3,9189.0
December_3_2016_Clemson_vs._Va._Tech_(ACC_Champ.)_(ABC),3.3,5338.0
December_3_2016_Oklahoma_vs._Oklahoma_St._(Big_12)_(FOX),3.1,4817.0
December_3_2016_Temple_vs._Navy_(ACC_Champ.)_(ABC),1.4,2050.0
December_3_2016_Baylor_vs._W._Virginia_(Big_12)_(FS1),0.6,1011.0
December_3_2016_WKU_vs._La._Tech_(C-USA_Champ.)_(ESPN),0.6,926.0
December_3_2016_SDSU_vs._Wyoming_(MWC_Champ.)_(ESPN),0.4,713.0
December_3_2016_K-State_vs._TCU_(Big_12)_(FS1),0.3,431.0
December_3_2016_Troy_vs._Ga._Southern_(Sun_Belt)_(ESPN2),0.2,269.0
December_3_2016_Ark._State_vs._Texas_State_(Sun_Belt)_(ESPN2),0.15,228.0
December_3_2016_Grambling_vs._Alcon_St._(SWAC_Champ.)_(ESPNU),0,160.0
December_4_2016_CFP_Selection_Show,0,1328.0
December_9_2016_Sam_Houston_St._vs._JMU_(FCS_qtrs)_(ESPN2),0,509.0
December_10_2016_Army_vs._Navy_(Ind._American)_(CBS),5,7940.0
December_10_2016_Heisman_Trophy_Presentation_(ESPN),1.6,2638.0
December_10_2016_South_Dakota_St._vs._North_Dakota_St._(FCS_qtrs)_(ESPN),1.3,1984.0
December_16_2016_JMU_vs._NDSU_(FCS_semis)_(ESPN2),0,1065.0
December_16_2016_Mry_Hrdn-Baylor_vs._UW-Oshkosh_(D-III_Champ.)_(ESPNU),0,340.0
December_17_2016_SDSU_vs._Houston_(Vegas_Bowl)_(ABC),2.4,3744.0
December_17_2016_Grambling_vs._N.C._Central_(Celeb._Bowl)_(ABC),1.8,2711.0
December_17_2016_App._State_vs._Toledo_(Camellia_Bowl)_(ESPN),0.9,1483.0
December_17_2016_New_Mexico_vs._UTSA_(N._Mexico_Bowl)_(ESPN),0.9,1391.0
December_17_2016_Southern_Miss_vs._UL-Lafayette_(N._Orlns._Bowl)_(ESPN),0.9,1335.0
December_17_2016_NW_Missouri_St._vs._Northern_Alabama_(D-II_Champ.)_(ESPN2),0.5,790.0
December_17_2016_E._Washington_vs._Youngstown_St._(FCS_semis)_(ESPNU),0,457.0
December_19_2016_E._Tulsa_vs._CMU_(M._Beach_Bowl)_(ESPN),0,794.0
December_20_2016_WKU_vs._Memphis_(Boca_Bowl)_(ESPN),0,1581.0
December_21_2016_BYU_vs._Wyoming_(Poinsettia_Bowl)_(ESPN),0,2380.0
December_22_2016_Idaho_vs._Colorado_St._(Potato_Bowl)_(ESPN),0,1143.0
December_23_2016_Ohio_vs._Troy_(Mobile_Bowl)_(ESPN),0,2512.0
December_23_2016_La._Tech_vs._Navy_(A._Forces_Bowl)_(ESPN),0,2341.0
December_23_2016_ODU_vs._E._Michigan_(Bahamas_Bowl)_(ESPN),0,1371.0
December_24_2016_Hawaii_vs._MTSU_(Hawaii_Bowl)_(ESPN),0.7,1359.0
December_26_2016_Miss._St._vs._Miami_(OH)_(St._Pete_Bowl)_(ESPN),0,2045.0
December_26_2016_Boston_Coll._vs._Maryland_(Detriot_Bowl)_(ESPN),0,3019.0
December_26_2016_N.C._State_vs._Vanderbilt_(Indpndnc._Bowl)_(ESPN2),0,1270.0
December_27_2016_Minnesota_vs._Wash._St._(Holiday_Bowl)_(ESPN),0,4046.0
December_27_2016_Baylor_vs._Boise._St._(Cactus_Bowl)_(ESPN),0,2282.0
December_27_2016_Wake_Forest_vs._Temple_(Military_Bowl)_(ESPN),0,2100.0
December_27_2016_Army_vs._North_Texas_(Dallas_Bowl)_(ESPN),0,1615.0
December_28_2016_Miami_vs._W._Virginia_(Russ._Ath._Bowl)_(ESPN),0,4252.0
December_28_2016_K-State_vs._Texas_A&M_(Texas_Bowl)_(ESPN),0,3791.0
December_28_2016_Utah_vs._Indiana_(San_Fran._Bowl)_(ESPN),1.6,2628.0
December_28_2016_N'Western_vs._Pittsburgh_(Pinstripe_Bowl)_(ESPN),0,2425.0
December_29_2016_Va._Tech_vs._Arkansas_(Belk_Bowl)_(ESPN),2.9,4963.0
December_29_2016_Okla._St._vs._Colorado_(Alamo_Bowl)_(ESPN),2.6,4551.0
December_29_2016_USF_vs._S._Carolina_(Birminghm._Bowl)_(ESPN),0,2308.0
December_30_2016_FSU_vs._Michigan_(Orange_Bowl)_(ESPN),6.2,11461.0
December_30_2016_Tennessee_vs._Nebraska_(Music_City_Bowl)_(ESPN),0,5026.0
December_30_2016_Georgia_vs._TCU_(Liberty_Bowl)_(ESPN),0,3128.0
December_30_2016_Stanford_vs._UNC_(Sun_Bowl)_(CBS),1.9,2926.0
December_31_2016_Alabama_vs._Washington_(Peach_Bowl)_(ESPN_ESPN2),10.7,19344.0
December_31_2016_Clemson_vs._Ohio_State_(Fiesta_Bowl)_(ESPN_ESPN2),9.8,19237.0
December_31_2016_LSU_vs._Louisville_(Citrus_Bowl)_(ABC),3.9,6390.0
December_31_2016_Ga._Tech_vs._Kentucky_(Gator_Bowl)_(ESPN),1.6,2647.0
January_2_2017_USC_vs._Penn_State_(Rose_Bowl)_(ESPN),8.6,15740.0
January_2_2017_Oklahoma_vs._Auburn_(Sugar_Bowl)_(ESPN),5.6,9515.0
January_2_2017_Wisconsin_vs._W._Michigan_(Cotton_Bowl)_(ESPN),3.1,5442.0
January_7_2017_J._Madison_vs._Youngstwn_St._(FCS_Champ.)_(ESPN2),0.9,1562.0
January_9_2017_Clemson_vs._Alabama_(CFP_Champ.)_(ESPN_Megacast),14.2,25266.0
