title,dataPath,imgPath,caption,first_caption,chartType,release date,Region,survey time period,xAxis,yAxis,URL,columns,length,File_No
"
                        Number of state-led interventions in the internet freedom in Russia in 2019, by type
                    ",out/two_col/data/25868.csv,out/two_col/imgs/25868.png," In 2019, Russian state authorities imposed a ban on information on the internet nearly 273 thousand times. The second most common intervention was to restrict access to particular online source in the country. "," In 2019, Russian state authorities imposed a ban on information on the internet nearly 273 thousand times. The second most common intervention was to restrict access to particular online source in the country. ",bar,Feb-20,Russia,2019,Unnamed: 0,Number of interventions,https://www.statista.com/statistics/1093671/russia-state-interventions-in-internet-freedom-by-type/,,,two_col-25868.txt
"
                        Export volume of cut flowers from Kenya between January 2019 and October 2020 
                    
                            (in 1,000 metric tons)
                        ",out/two_col/data/23518.csv,out/two_col/imgs/23518.png," The export volume of cut flowers from Kenya increased to 14.5 thousand metric tons in October 2020, maintaining an upward tendency started in July. The growth approximated the export volume to the levels observed before a strong fall in the second quarter of 2020, which coincided to the outbreak of the COVID-19 pandemic. "," The export volume of cut flowers from Kenya increased to 14.5 thousand metric tons in October 2020, maintaining an upward tendency started in July. The growth approximated the export volume to the levels observed before a strong fall in the second quarter of 2020, which coincided to the outbreak of the COVID-19 pandemic. ",column,Dec-20,Kenya,January 2019 to October 2020,Unnamed: 0,Export volume in thousand metric tons,https://www.statista.com/statistics/1130798/monthly-export-volume-of-cut-flowers-in-kenya/,,,two_col-23518.txt
"
                        Leading popular podcasts in Italy as of 2019, by category
                    ",out/two_col/data/22700.csv,out/two_col/imgs/22700.png," From a recent study conducted in 2019, it emerged that the number of Italians who have started listening to podcasts has increased significantly during 2019. In particular, it merged that the category which was the most frequently listened to was the content regarding Business, preferred by 17.6 percent of the respondents. ""Society and culture"" was ranked second with 14.6 percent of podcast listeners choosing it. "," From a recent study conducted in 2019, it emerged that the number of Italians who have started listening to podcasts has increased significantly during 2019. In particular, it merged that the category which was the most frequently listened to was the content regarding Business, preferred by 17.6 percent of the respondents. ""Society and culture"" was ranked second with 14.6 percent of podcast listeners choosing it. ",pie,Dec-19,Italy,2019,Unnamed: 0,Share of podcast listeners,https://www.statista.com/statistics/1084946/most-popular-podcasts-in-italy/,,,two_col-22700.txt
"
                        Share of respondents using YouTube in the Netherlands in 2017 and 2018, by age group
                    ",out/multi_col/data/2337.csv,out/multi_col/imgs/2337.png," YouTube users in the Netherlands were predominantly younger than 39, according to survey results from 2017 and 2018. The online video platform was especially popular among the 15- to 19-year-olds: 86 percent of the Dutch respondents in this age group said they used Google’s video-sharing platform. The source does not mention whether the penetration rate only covers desktop use, app use on smartphones/tablets or both. The numbers shown here, however, exclude the use of YouTube Music in the Netherlands, as this service arrived later in 2018. YouTube is seen as one the most popular platforms in the Netherlands Based on penetration rate, YouTube ranked among the top three social media platforms in the country in 2018. Only WhatsApp and Facebook were used more often. As of 2019, YouTube’s user base in the Netherlands was around 8.7 million people (of an internet population of approximately 14.4 million). This number had grown by around 720,000 compared to 2018, an increase of nine percent. Different audiences, different uses YouTube has three main uses in the Netherlands. First, it is used as a music streaming service (either via the “old�?platform or via the above-mentioned YouTube Music service). A second popular use of the platform is for watching vlogs: in a recent survey it was found that roughly 21 percent of all respondents watched these on YouTube. This percentage was notably higher for the age group between 14 to 21 years old. Third and finally, YouTube is used as a game streaming platform. Ten percent of all Dutch respondents in 2018 survey said used a service to watch game streams. Of this group, 91 percent indicated they used YouTube for this. This was a higher response than for Twitch, which reached a penetration rate of 36 percent among game stream watchers. "," YouTube users in the Netherlands were predominantly younger than 39, according to survey results from 2017 and 2018. The online video platform was especially popular among the 15- to 19-year-olds: 86 percent of the Dutch respondents in this age group said they used Google’s video-sharing platform. The source does not mention whether the penetration rate only covers desktop use, app use on smartphones/tablets or both. The numbers shown here, however, exclude the use of YouTube Music in the Netherlands, as this service arrived later in 2018. ",column,18-Jan,Netherlands,2017 and 2018,,,https://www.statista.com/statistics/828838/youtube-penetration-rate-in-the-netherlands-by-age-group/,"['Unnamed: 0', '2017', '2018']",547.0,multi_col-2337.txt
"
                        Average annual price of fish oil worldwide from 2015 to 2018 
                    
                            (in U.S. dollars per metric ton)
                        ",out/two_col/data/3169.csv,out/two_col/imgs/3169.png," This statistic shows the average annual price of fish oil worldwide from 2015 to 2019 (in U.S. dollars per metric ton). Average price of fish oil from January to December 2016 was about 1,700 U.S. dollars per metric ton, decreasing from 1,802 dollars per metric ton in the previous year. "," This statistic shows the average annual price of fish oil worldwide from 2015 to 2019 (in U.S. dollars per metric ton). Average price of fish oil from January to December 2016 was about 1,700 U.S. dollars per metric ton, decreasing from 1,802 dollars per metric ton in the previous year. ",column,Jul-19,Worldwide,January 2015 to July 2019,Unnamed: 0,Annual price in U.S. dollars per metric ton,https://www.statista.com/statistics/762335/fish-oil-price-worldwide/,,,two_col-3169.txt
"
                        Number of employees in the real estate sector in France from the 1st quarter 2014 to the1st quarter 2020 
                    
                            (in 1000s)
                        ",out/two_col/data/26456.csv,out/two_col/imgs/26456.png," This statistic presents the number of employees in the real estate sector of France from the first quarter of 2014 to the first quarter of 2020. In 2020, there were approximately 245,000 employees in the real estate sector in France. "," This statistic presents the number of employees in the real estate sector of France from the first quarter of 2014 to the first quarter of 2020. In 2020, there were approximately 245,000 employees in the real estate sector in France. ",column,Jun-20,France,Q1 2014 to Q1 2020,Unnamed: 0,Number of employees in 1000s,https://www.statista.com/statistics/745102/french-real-estate-number-of-employees/,,,two_col-26456.txt
"
                        Uruguay: Urbanization from 2009 to 2019
                    ",out/two_col/data/14115.csv,out/two_col/imgs/14115.png," This statistic shows the degree of urbanization in Uruguay from 2009 to 2019. Urbanization means the share of urban population in the total population of a country. In 2019, 95.43 percent of Uruguay's total population lived in urban areas and cities. "," This statistic shows the degree of urbanization in Uruguay from 2009 to 2019. Urbanization means the share of urban population in the total population of a country. In 2019, 95.43 percent of Uruguay's total population lived in urban areas and cities. ",column,Oct-20,Uruguay,2009 to 2019,Unnamed: 0,Share of urban population in total population,https://www.statista.com/statistics/455952/urbanization-in-uruguay/,,,two_col-14115.txt
"
                        Value of deals on international debt capital markets in the 3rd quarter of 2020, by currency 
                    
                            (in billion U.S. dollars)
                        ",out/two_col/data/3270.csv,out/two_col/imgs/3270.png," The U.S. dollar was the currency most commonly used for deals on the international debt capital market in the third quarter of 2020. In that time, the value of deals in that currency was 878 billion U.S. dollars. What is debt capital market? The debt market is the part of the capital market on which fixed-interest securities are traded. These securities include, for example, government, municipal, corporate or mortgage bonds. It allows the companies and governments to raise capital through issuance of debt securities. In case a company or a government decides to collect additional money on debt capital market, it issues debt securities and sells them to investors. Depending on financial situation of the company issued bonds can obtain different ratings. The better the company is perceived in the market, the lower interest rates it has to pay for raised capital. Other ways of raising capital Some companies can access money via venture capital or private equity funding, where money comes from high net worth individuals, investment funds, banks or other financial institutions. For larger and well-established companies going public can be an option and raising money among investors. This process is called initial public offering (IPO). "," The U.S. dollar was the currency most commonly used for deals on the international debt capital market in the third quarter of 2020. In that time, the value of deals in that currency was 878 billion U.S. dollars. ",bar,2020,Worldwide,Q3 2020,Unnamed: 0,Value in billion U.S. dollars,https://www.statista.com/statistics/247300/transaction-volume-on-the-global-bond-market-by-currency/,,,two_col-3270.txt
"
                        Number of paid subscribers registered to the Match Group from 1st quarter 2014 to 3rd quarter 2020 
                    
                            (in 1,000s)
                        ",out/two_col/data/2015.csv,out/two_col/imgs/2015.png," This statistic presents the number of paid dating subscribers registered to the Match Group as of the third quarter of 2020. In the last reported quarter, the Match Group's number of paid member count amounted to over 10 million subscribers. Match Group, formerly owned by IAC, owns and operates online dating platforms such as the eponymous Match.com, OkCupid, Tinder, PlentyofFish and others. "," This statistic presents the number of paid dating subscribers registered to the Match Group as of the third quarter of 2020. In the last reported quarter, the Match Group's number of paid member count amounted to over 10 million subscribers. Match Group, formerly owned by IAC, owns and operates online dating platforms such as the eponymous Match.com, OkCupid, Tinder, PlentyofFish and others. ",column,Nov-20,Worldwide,Q1 2014 to Q3 2020,Unnamed: 0,Number of paid subscribers in thousands,https://www.statista.com/statistics/449465/paid-dating-subscribers-match-group/,,,two_col-2015.txt
"
                        Distribution of known recoverable resources of uranium worldwide in 2017, by major country
                    ",out/two_col/data/16145.csv,out/two_col/imgs/16145.png, This statistic shows the distribution of the known recoverable resources of uranium in the countries with the largest resources worldwide in 2017. The known recoverable uranium resources in Australia accounted for a 30 percent share of the global uranium resources. , This statistic shows the distribution of the known recoverable resources of uranium in the countries with the largest resources worldwide in 2017. The known recoverable uranium resources in Australia accounted for a 30 percent share of the global uranium resources. ,bar,2020,Worldwide,2017,Unnamed: 0,Share of resources,https://www.statista.com/statistics/652996/distribution-of-global-uranium-resources-by-country/,,,two_col-16145.txt
"
                        Voting rate in the 2017 presidential election primaries in Chile, by location
                    ",out/two_col/data/13652.csv,out/two_col/imgs/13652.png," This statistic shows the voting rate during the general presidential elections held in Chile on November 19, 2017. Approximately 46.7 percent of the total number of officially registered voters in Chile casted a vote for the 2017 presidential election primaries, whereas the voting rate outside of Chile reached nearly 60 percent of the electorate. "," This statistic shows the voting rate during the general presidential elections held in Chile on November 19, 2017. Approximately 46.7 percent of the total number of officially registered voters in Chile casted a vote for the 2017 presidential election primaries, whereas the voting rate outside of Chile reached nearly 60 percent of the electorate. ",column,Nov-17,Chile,19-Nov-17,Unnamed: 0,Voting rate,https://www.statista.com/statistics/787004/voting-rate-presidential-election-primaries-chile/,,,two_col-13652.txt
"
                        Price disparities for top pharmaceutical product Lantus Solostar in the U.S. and Canada as of 2017 (in U.S. dollarsl)*
                    ",out/two_col/data/17858.csv,out/two_col/imgs/17858.png," This statistic displays price disparities for Sanofi's pharmaceutical product Lantus Solostar as of Q2 2017. For this time, Lantus Solostar cost 1160.39 U.S. dollars for a three-month supply in the U.S. while the same drug was available for 447 U.S. dollars in Canada. "," This statistic displays price disparities for Sanofi's pharmaceutical product Lantus Solostar as of Q2 2017. For this time, Lantus Solostar cost 1160.39 U.S. dollars for a three-month supply in the U.S. while the same drug was available for 447 U.S. dollars in Canada. ",column,Aug-17,"Worldwide, United States",as of Q2 2017,Unnamed: 0,Price in U.S. dollars,https://www.statista.com/statistics/818893/prices-for-lantus-solostar-in-the-us-and-abroad/,,,two_col-17858.txt
"
                        Fears and reservations after coronavirus COVID-19 outbreak among consumers in Vietnam in 2020
                    ",out/two_col/data/26199.csv,out/two_col/imgs/26199.png," After the outbreak of COVID-19, commonly referred to as coronavirus, the majority of Vietnamese consumers were afraid that the virus will have a negative impact on their business and that they would get infected by the virus. Prior to the outbreak, consumers were rather concerned about the environmental pollution, the reduction of healthcare and education services, or the infrastructure development. The sentiment turned around after the outbreak. "," After the outbreak of COVID-19, commonly referred to as coronavirus, the majority of Vietnamese consumers were afraid that the virus will have a negative impact on their business and that they would get infected by the virus. Prior to the outbreak, consumers were rather concerned about the environmental pollution, the reduction of healthcare and education services, or the infrastructure development. The sentiment turned around after the outbreak. ",bar,Feb-20,Vietnam,2020,Unnamed: 0,Share of respondents,https://www.statista.com/statistics/1102834/vietnam-consumer-concerns-after-covid-19-outbreak/,,,two_col-26199.txt
"
                        Market share of mobile phone brands in the United Kingdom (UK) in 2015
                    ",out/two_col/data/12016.csv,out/two_col/imgs/12016.png," This statistic shows the market share distribution of mobile phone brands in the United Kingdom (UK) in 2015. Samsung had the highest market share with 31 percent, followed by Apple with 22 percent. "," This statistic shows the market share distribution of mobile phone brands in the United Kingdom (UK) in 2015. Samsung had the highest market share with 31 percent, followed by Apple with 22 percent. ",bar,Mar-16,United Kingdom,2015,Unnamed: 0,Share of respondents,https://www.statista.com/statistics/527714/market-share-of-mobile-phone-brands-united-kingdom-uk/,,,two_col-12016.txt
"
                        Atlanta Hawks player expenses (payroll)* from 2001/02 to 2018/19 
                    
                            (in million U.S. dollars)
                        ",out/two_col/data/23429.csv,out/two_col/imgs/23429.png," The statistic depicts the player expenses of the Atlanta Hawks, franchise of the National Basketball Association, from 2001 to 2019. In the 2018/19 season, the player salaries of the Atlanta Hawks stood at 95 million U.S. dollars. "," The statistic depicts the player expenses of the Atlanta Hawks, franchise of the National Basketball Association, from 2001 to 2019. In the 2018/19 season, the player salaries of the Atlanta Hawks stood at 95 million U.S. dollars. ",column,Feb-20,United States,2001/02 to 2018/19,Unnamed: 0,Player expenses in million U.S. dollars,https://www.statista.com/statistics/280738/player-expenses-payroll-of-the-atlanta-hawks/,,,two_col-23429.txt
"
                        Outlook of the direct and total contribution of travel and tourism to GDP from 2020 to 2029 
                    
                            (in billion U.S. dollars)
                        ",out/multi_col/data/2080.csv,out/multi_col/imgs/2080.png," The forecast for the direct contribution of travel and tourism to global GDP in 2029 is a little under 5,563 trillion U.S. dollars. In contrast, the total contribution to GDP worldwide is predicted to reach 18,031 billion U.S. dollars in 2029. "," The forecast for the direct contribution of travel and tourism to global GDP in 2029 is a little under 5,563 trillion U.S. dollars. In contrast, the total contribution to GDP worldwide is predicted to reach 18,031 billion U.S. dollars in 2029. ",line,20-Feb,Worldwide,2019,,,https://www.statista.com/statistics/1093486/travel-tourism-gdp-worldwide-outlook/,"['Unnamed: 0', 'Direct contribution', 'Total contribution']",245.0,multi_col-2080.txt
"
                        Online shopping preference in the United States as of 2017, by age group
                    ",out/two_col/data/2325.csv,out/two_col/imgs/2325.png," This statistic gives information on the online shopping preference in the United States as of 2017, sorted by generation. During the survey period, it was found 67 percent of Millennial shoppers preferred to search and purchase on ecommerce sites rather than in store. "," This statistic gives information on the online shopping preference in the United States as of 2017, sorted by generation. During the survey period, it was found 67 percent of Millennial shoppers preferred to search and purchase on ecommerce sites rather than in store. ",column,Jul-17,United States,2017,Unnamed: 0,Share of respondents who prefer online shopping,https://www.statista.com/statistics/242512/online-retail-visitors-in-the-us-by-age-group/,,,two_col-2325.txt
"
                        Average basket value (ABV) of retail sales via tablet monthly in the United Kingdom (UK) from January to December 2013*
                    ",out/two_col/data/16670.csv,out/two_col/imgs/16670.png," This statistic displays the average basket value monthly of retail sales via tablet in the United Kingdom (UK) from January to December 2013. In December 2013, the average basket was worth 78 British pounds. "," This statistic displays the average basket value monthly of retail sales via tablet in the United Kingdom (UK) from January to December 2013. In December 2013, the average basket was worth 78 British pounds. ",column,Jan-14,United Kingdom,January to December 2013,Unnamed: 0,ABV in GBP,https://www.statista.com/statistics/286064/retail-sales-via-tablet-average-basket-value-monthly-in-the-united-kingdom-uk/,,,two_col-16670.txt
"
                        Share of renewable energy in primary energy consumption in Colombia between 1990 and 2017
                    ",out/two_col/data/27123.csv,out/two_col/imgs/27123.png," The share of energy derived from renewable sources in primary energy consumption in Colombia amounted to 26.2 percent in 2017, up from 23.1 percent a year earlier. That same year, primary energy consumption in Colombia amounted to approximately 45.5 million tons of oil equivalent. "," The share of energy derived from renewable sources in primary energy consumption in Colombia amounted to 26.2 percent in 2017, up from 23.1 percent a year earlier. That same year, primary energy consumption in Colombia amounted to approximately 45.5 million tons of oil equivalent. ",column,Mar-20,Colombia,1990 to 2017,Unnamed: 0,Share of primary energy consumption,https://www.statista.com/statistics/246081/share-of-renewable-energy-of-energy-consumed-in-columbia/,,,two_col-27123.txt
"
                        Euro (EUR) to U.S. dollar (USD) average exchange rate from January 1999 to October 2020
                    ",out/two_col/data/54.csv,out/two_col/imgs/54.png," This statistic displays the annual exchange rate (average or standardized measure) of the euro to the U.S. dollar (EUR USD) according to the data from the European Central Bank and covers the period from the introduction of the euro in 1999 (non-physical) up until 2020. The average (standardized) measure is based on the calculation of many observations throughout the period in question. It is therefore different than an annual measure at point in time, which reflects concrete values as of end of the year. Establishment The euro, which was established in 1992, introduced in non-physical form in 1999 and finally rolled out in 2002, is used by 19 of the 27 member states of the European Union. This group of 19 countries is otherwise known as the eurozone or euro area. By 2018, the total value of euro currency in circulation was almost 1.2 trillion euros, or over 3.4 thousand euros per capita. Euro to USD Between 2001 and 2008, the average annual exchange rate of the euro to the U.S. dollar noted a steep increase. In 2008, the euro to U.S. dollar annual average exchange rate was equal to 1.47, which meant that one euro could buy 1.47 U.S. dollars. By 2019, this value had decreased overall, to a value of 1.12 which meant that one euro could buy 1.12 U.S. dollars. Similar dynamics in the euro to U.S. dollar exchange rate were also reflected in the monthly exchange rate in recent years. "," This statistic displays the annual exchange rate (average or standardized measure) of the euro to the U.S. dollar (EUR USD) according to the data from the European Central Bank and covers the period from the introduction of the euro in 1999 (non-physical) up until 2020. The average (standardized) measure is based on the calculation of many observations throughout the period in question. It is therefore different than an annual measure at point in time, which reflects concrete values as of end of the year. ",line,2020,Europe,January 1999 to November 2020,Unnamed: 0,EUR/USD exchange rate,https://www.statista.com/statistics/412794/euro-to-u-s-dollar-annual-average-exchange-rate/,,,two_col-54.txt
"
                        Sales volume of avocados from Michoacán, Mexico in the United States during Super Bowl in 2018 and 2019 
                    
                            (in 1,000 metric tons)
                        ",out/two_col/data/19610.csv,out/two_col/imgs/19610.png," This statistic shows the sales volume of avocados from the Mexican state of Michoacán in the U.S. during Super Bowl in 2018 and 2019. In 2019, the Mexican avocado sales in the U.S. during that sports event were expected to reach about 120 thousand metric tons, up from around 100 thousand metric tons sold a year earlier. "," This statistic shows the sales volume of avocados from the Mexican state of Michoacán in the U.S. during Super Bowl in 2018 and 2019. In 2019, the Mexican avocado sales in the U.S. during that sports event were expected to reach about 120 thousand metric tons, up from around 100 thousand metric tons sold a year earlier. ",column,Jan-19,"Mexico, United States",2018,Unnamed: 0,Volume in thousand metric tons,https://www.statista.com/statistics/976764/avocado-sales-volume-united-states-super-bowl-mexico/,,,two_col-19610.txt
"
                        Philippines: Population growth from 2009 to 2019 
                    
                            (compared to the previous year)
                        ",out/two_col/data/5966.csv,out/two_col/imgs/5966.png," This statistic shows the population growth in the Philippines from 2009 to 2019, compared to the previous year. In 2019, the population in the Philippines grew by approximately 1.36 percent. "," This statistic shows the population growth in the Philippines from 2009 to 2019, compared to the previous year. In 2019, the population in the Philippines grew by approximately 1.36 percent. ",column,Oct-20,Philippines,2009 to 2019,Unnamed: 0,Population growth compared to the previous year,https://www.statista.com/statistics/268716/population-growth-of-the-philippines-from-1990-to-2008/,,,two_col-5966.txt
"
                        Number of dismissal notices in the communication industry in Sweden from January to March 2020
                    ",out/two_col/data/26947.csv,out/two_col/imgs/26947.png," Due to the coronavirus (COVID-19) outbreak, the number of dismissal notices in the Swedish communication industry significantly increased in the past months. While the amount was 113 in January 2020, over 1,700 employees were notified of dismissal in March 2020. "," Due to the coronavirus (COVID-19) outbreak, the number of dismissal notices in the Swedish communication industry significantly increased in the past months. While the amount was 113 in January 2020, over 1,700 employees were notified of dismissal in March 2020. ",column,Mar-20,Sweden,January to March 2020,Unnamed: 0,Number of dismissal notices,https://www.statista.com/statistics/1108936/impact-of-covid-19-on-communication-industry-s-dismissals-in-sweden/,,,two_col-26947.txt
"
                        Number of car, van or truck road fatalities in the Netherlands from 2009 to 2019
                    ",out/multi_col/data/3525.csv,out/multi_col/imgs/3525.png," This statistic displays the total number of motorized vehicle road fatalities in the Netherlands from 2009 to 2019. It shows that the large majority of the motor vehicle road fatalities involved car accidents, with vans and trucks making up only a small amount of the total fatalities. "," This statistic displays the total number of motorized vehicle road fatalities in the Netherlands from 2009 to 2019. It shows that the large majority of the motor vehicle road fatalities involved car accidents, with vans and trucks making up only a small amount of the total fatalities. ",line,20-Apr,Netherlands,2009 to 2019,,,https://www.statista.com/statistics/523323/netherlands-number-of-motor-vehicle-road-fatalities/,"['Unnamed: 0', 'Cars', 'Vans and trucks']",287.0,multi_col-3525.txt
"
                        How worried, if at all, are you for your own personal health and for the health of the people you live with during the coronavirus (COVID-19) outbreak?
                    ",out/multi_col/data/4285.csv,out/multi_col/imgs/4285.png," In April 2020, a survey of healthcare workers in the United Kingdom (UK) found that majority are worried about their personal health as well as the health of those they live with during the coronavirus (COVID-19) outbreak. 28 percent of healthcare workers reported to be very worried about their personal health, while 37 percent were very worried about the health of those in their household. The latest number of cases in the UK can be found here. For further information about the coronavirus pandemic, please visit our dedicated Facts and Figures page. "," In April 2020, a survey of healthcare workers in the United Kingdom (UK) found that majority are worried about their personal health as well as the health of those they live with during the coronavirus (COVID-19) outbreak. 28 percent of healthcare workers reported to be very worried about their personal health, while 37 percent were very worried about the health of those in their household.  The latest number of cases in the UK can be found here. For further information about the coronavirus pandemic, please visit our dedicated Facts and Figures page. ",column,20-Apr,United Kingdom,"Aprl 2 to April 7, 2020",,,https://www.statista.com/statistics/1111407/covid-19-health-concerns-of-healthcare-workers-in-the-uk/,"['Unnamed: 0', 'Worried about personal health', 'Worried about health of people you live with']",559.0,multi_col-4285.txt
"
                        Infant mortality rate (under one year old) in Canada from 1900 to 2020*
                    ",out/two_col/data/19125.csv,out/two_col/imgs/19125.png," The infant mortality rate in Canada, for children under the age of one year old, was 187 deaths per thousand births in 1900. This means that for all babies born in 1865, almost one fifth did not survive past their first birthday. Over the course of the next 120 years, this number has dropped significantly. The rate dropped to its lowest point ever in the 2000s, at five deaths per thousand births. "," The infant mortality rate in Canada, for children under the age of one year old, was 187 deaths per thousand births in 1900. This means that for all babies born in 1865, almost one fifth did not survive past their first birthday. Over the course of the next 120 years, this number has dropped significantly. The rate dropped to its lowest point ever in the 2000s, at five deaths per thousand births. ",line,Jun-19,Canada,1900-2020,Unnamed: 0,"Deaths per 1,000 live births",https://www.statista.com/statistics/1042590/canada-all-time-infant-mortality-rate/,,,two_col-19125.txt
"
                        Sweden: Distribution of employment by economic sector from 2010 to 2020
                    ",out/multi_col/data/689.csv,out/multi_col/imgs/689.png," The statistic shows the distribution of employment in Sweden by economic sector from 2010 to 2020. In 2020, 1.6 percent of the employees in Sweden were active in the agricultural sector, 17.71 percent in industry and 80.69 percent in the service sector. "," The statistic shows the distribution of employment in Sweden by economic sector from 2010 to 2020. In 2020, 1.6 percent of the employees in Sweden were active in the agricultural sector, 17.71 percent in industry and 80.69 percent in the service sector. ",column,20-Oct,Sweden,2010 to 2020,,,https://www.statista.com/statistics/375648/employment-by-economic-sector-in-sweden/,"['Unnamed: 0', 'Agriculture', 'Industry', 'Services']",255.0,multi_col-689.txt
"
                        How often do you see internet trolling on the following types of media?
                    ",out/multi_col/data/1920.csv,out/multi_col/imgs/1920.png, This statistic shows the response to a survey on internet trolling taken amongst adults in the United States in August 2017. The survey revealed that 38 percent of respondents saw trolling on social media on a daily basis. , This statistic shows the response to a survey on internet trolling taken amongst adults in the United States in August 2017. The survey revealed that 38 percent of respondents saw trolling on social media on a daily basis. ,table,17-Aug,United States,"August 10 to 14, 2017",,,https://www.statista.com/statistics/379997/internet-trolling-digital-media/,"['Unnamed: 0', 'Every day', 'A few times a week', 'Once a week', 'A few times a month', 'Once a month', 'Less than once a month', 'Never']",224.0,multi_col-1920.txt
"
                        Net written motor premiums of the general business insurance market in the United Kingdom (UK) from 2007 to 2018 
                    
                            (in million GBP)
                        ",out/two_col/data/15488.csv,out/two_col/imgs/15488.png," This statistic shows the net written premiums for motor insurance of the general business insurance market in the United Kingdom (UK) from 2007 to 2018. In 2018, the net written premiums for motor insurances amounted to almost 10.1 billion British pounds (GBP), a decrease of over 100 million British pounds from the previous year. "," This statistic shows the net written premiums for motor insurance of the general business insurance market in the United Kingdom (UK) from 2007 to 2018. In 2018, the net written premiums for motor insurances amounted to almost 10.1 billion British pounds (GBP), a decrease of over 100 million British pounds from the previous year. ",column,Oct-19,United Kingdom,2007 to 2018,Unnamed: 0,Net written premiums in million GBP,https://www.statista.com/statistics/295377/uk-insurance-market-net-written-motor-premiums/,,,two_col-15488.txt
"
                        Total number of registered ice hockey players in the United States from 2010/11 to 2018/19
                    ",out/two_col/data/2542.csv,out/two_col/imgs/2542.png," The statistics depicts the number of registered ice hockey players in the United States from 2010/11 to 2018/19. In the 2018/19 season, there were a total of 567,908 registered ice hockey players in the United States according to the International Ice Hockey Federation. "," The statistics depicts the number of registered ice hockey players in the United States from 2010/11 to 2018/19. In the 2018/19 season, there were a total of 567,908 registered ice hockey players in the United States according to the International Ice Hockey Federation. ",column,Sep-19,United States,2010/11 to 2018/19,Unnamed: 0,Number of players,https://www.statista.com/statistics/282122/number-of-registered-ice-hockey-players-in-the-united-states/,,,two_col-2542.txt
"
                        Revenues of biotech company Celgene's top products from 2013 to 2018 
                    
                            (in million U.S. dollars)
                        ",out/multi_col/data/1460.csv,out/multi_col/imgs/1460.png," This statistic reveals the revenues generated by biotech company Celgene's top products between 2013 and 2018. In 2014, one of the company's top products, Otezla, generated revenues of around 70 million U.S. dollars. Otezla's annual revenue increased up to 1.6 billion dollars until 2018. Celgene Corporation is headquartered in Summit, New Jersey. The company is specialized on drug manufacturing for cancer and inflammatory disorders. "," This statistic reveals the revenues generated by biotech company Celgene's top products between 2013 and 2018. In 2014, one of the company's top products, Otezla, generated revenues of around 70 million U.S. dollars. Otezla's annual revenue increased up to 1.6 billion dollars until 2018. Celgene Corporation is headquartered in Summit, New Jersey. The company is specialized on drug manufacturing for cancer and inflammatory disorders. ",bar,19-Feb,Worldwide,2013 to 2018,,,https://www.statista.com/statistics/274269/revenues-of-biotech-company-celgenes-top-products/,"['Drug name (therapy area)', '2013', '2014', '2015', '2016', '2017', '2018']",438.0,multi_col-1460.txt
"
                        Diabetes prevalence by world region in 2019 and 2045*
                    ",out/multi_col/data/3370.csv,out/multi_col/imgs/3370.png," This statistic shows the world regions' age adjusted diabetes prevalence among adults (20-79 years) in 2019 and a 2045 forecast. In 2019, North America and the Caribbean had a 11 percent diabetes prevalence. "," This statistic shows the world regions' age adjusted diabetes prevalence among adults (20-79 years) in 2019 and a 2045 forecast. In 2019, North America and the Caribbean had a 11 percent diabetes prevalence. ",bar,19-Nov,Worldwide,2019,,,https://www.statista.com/statistics/495292/diabetes-prevalance-forecast-globally-by-region/,"['Unnamed: 0', '2019', '2045']",209.0,multi_col-3370.txt
"
                        Canada: National debt from 2015 to 2025 in relation to gross domestic product 
                    
                            (GDP)
                        ",out/two_col/data/4331.csv,out/two_col/imgs/4331.png," The statistic shows the national debt in Canada from 2015 to 2019 in relation to gross domestic product (GDP), with projections up until 2025. In 2019, the national debt in Canada amounted to about 88.62 percent of the gross domestic product. "," The statistic shows the national debt in Canada from 2015 to 2019 in relation to gross domestic product (GDP), with projections up until 2025. In 2019, the national debt in Canada amounted to about 88.62 percent of the gross domestic product. ",column,Oct-20,Canada,2015 to 2019,Unnamed: 0,National debt to GDP ratio,https://www.statista.com/statistics/271233/national-debt-of-canada-in-relation-to-gross-domestic-product-gdp/,,,two_col-4331.txt
"
                        Number of international students in the United States from 2003/04 to 2019/20
                    ",out/two_col/data/8488.csv,out/two_col/imgs/8488.png, This statistic shows the number of international students that were attending universities in the United States from the 2003/04 academic year to the 2019/20 academic year. There were more than 1.07 million international students studying in the United States in 2019/20. , This statistic shows the number of international students that were attending universities in the United States from the 2003/04 academic year to the 2019/20 academic year. There were more than 1.07 million international students studying in the United States in 2019/20. ,line,Nov-20,United States,2003 to 2020,Unnamed: 0,Number of students,https://www.statista.com/statistics/237681/international-students-in-the-us/,,,two_col-8488.txt
"
                        Number of deaths as a result of abortion in Argentina from 2005 to 2018
                    ",out/two_col/data/7428.csv,out/two_col/imgs/7428.png," In 2018, a total of 35 women were reported to have died due to complications following an abortion in Argentina, up from 30 maternal deaths a year earlier. Abortion is only allowed by law in Argentina in cases where the mother's life or health is in danger, or if the pregnancy is the result of rape. "," In 2018, a total of 35 women were reported to have died due to complications following an abortion in Argentina, up from 30 maternal deaths a year earlier. Abortion is only allowed by law in Argentina in cases where the mother's life or health is in danger, or if the pregnancy is the result of rape. ",column,Dec-19,Argentina,2005 to 2018,Unnamed: 0,Number of deaths,https://www.statista.com/statistics/869682/argentina-number-deaths-abortion/,,,two_col-7428.txt
