number,File_No,title,img,data,Gold Standard,TAB-BART,TAB-T5,OCR-T5
53,two_col-23530.txt,Number of type 1 diabetes cases in the U.S. from 2007 to 2020 (in millions)*,statista/dataset/imgs/two_col-23530.png,statista/dataset/data/two_col-23530.csv,"This forecast illustrates the number of diabetes type 1 disease cases in the United States from 2007 to 2020. In 2020, some 500,000 adults of the U.S. population are expected to live with the type 1 diabetes.","This statistic shows the number of type 1 diabetes cases in the U.S. from 2007 to 2020. In 2020, there were estimated to be around 0.5 million cases of type one diabetes in the United States. Type 1 diabetes is a metabolic disease that causes high blood sugar levels.","This statistic shows the number of type 1 diabetes cases in the U.S. from 2007 to 2020. In 2020, the number of type 1 diabetes cases in the U.S. was estimated to be around 0.5 million.","This statistic shows the number of type 1 diabetes cases in the U.S. from 2007 to 2020. In 2020, there were approximately 0.5 million type 1 diabetes cases in the U.S."
54,two_col-223.txt,Countries with the largest lithium reserves worldwide as of 2019 (in metric tons),statista/dataset/imgs/two_col-223.png,statista/dataset/data/two_col-223.csv,"This statistic shows the countries with the largest lithium reserves worldwide as estimated in 2019. In that year, it was estimated that the United States had total lithium reserves of approximately 630,000 metric tons.","This statistic shows the ten countries with the largest lithium reserves worldwide as of 2019. At that point, Chile was the world's largest lithium producer, with reserves of some 8600,000 metric tons.","This statistic shows the countries with the largest lithium reserves worldwide as of 2019. Chile had the largest reserves of lithium worldwide at approximately 86,000 metric tons.",This statistic shows the countries with the largest lithium reserves worldwide as of 2019. Chile had the world's largest lithium reserves at around 8.6 million metric tons as of 2019.
55,two_col-25761.txt,"Share of consumers who shopped online using a mobile device in the United Kingdom (UK) in 2014, by age group",statista/dataset/imgs/two_col-25761.png,statista/dataset/data/two_col-25761.csv,"This statistic displays the share of consumers who shopped online using mobile devices in the United Kingdom (UK) in 2014, by gender. In 2014, 52 percent of consumers aged between 55 and 64 years old stated that they had shopped online using their mobile devices.","This statistic displays the share of consumers who shopped online using a mobile device in the United Kingdom (UK) in 2014, by age group. Of respondents aged 18 to 24, 67.8 percent shopped via mobile device.","This statistic displays the share of consumers who shopped online using a mobile device in the United Kingdom (UK) in 2014, by age group. During the survey period, it was found that 67.8 percent of respondents aged 18 to 24 years old had purchased online via a mobile device.","This statistic shows the share of consumers who shopped online using a mobile device in the United Kingdom (UK) in 2014, by age group. Of respondents aged 45 to 54, 78.1 percent said they shopped online using a mobile device."
56,two_col-15312.txt,Pharmaceutical industry financial penalties in the United States from 1991 to 2017 (in million U.S. dollars)*,statista/dataset/imgs/two_col-15312.png,statista/dataset/data/two_col-15312.csv,"This statistic represents pharmaceutical industry penalties from settlements between US state and federal governments from 1991 to 2017. In 2009, penalties for the pharmaceutical industry in the United States came to some 4.4 billion U.S. dollars in total.","This statistic shows pharmaceutical industry penalties in the United States from 1991 to 2017. In 2017, the penalties amounted to some 1.3 billion U.S. dollars.","This statistic shows the pharmaceutical industry financial penalties in the United States from 1991 to 2017. In 2017, the pharmaceutical industry in the United States was fined approximately 1.4 billion U.S. dollars.","This statistic shows the pharmaceutical industry financial penalties in the United States from 1991 to 2017. In 2017, pharmaceutical industry penalties in the U.S. amounted to approximately 1.304 billion U.S. dollars."
57,two_col-21300.txt,Silk exports from India from financial year 2014 to 2020 (in billion Indian rupees),statista/dataset/imgs/two_col-21300.png,statista/dataset/data/two_col-21300.csv,"In fiscal year 2020, India exported silk worth over 17 billion Indian rupees. The exports include mulberry silk, non-mulberry silk and silk waste, all used for various garments including carpets, ties and scarves.",India exported silk worth over 17 billion Indian rupees in fiscal year 2020. This was a decrease in export value compared to the previous fiscal year. Silk exports from the south Asian country had been decreasing since fiscal year 2014.,"In fiscal year 2020, the value of silk exports from India amounted to over 17 billion Indian rupees. This was a decrease from the previous fiscal year. The exports of silk from India had a comparatively high value in fiscal year 2017.","At the end of fiscal year 2020, the value of silk exports from India amounted to over 30 billion Indian rupees. This was an increase from the previous fiscal year, when the value of silk exports from the country amounted to over 30 billion rupees."
58,multi_col-4935.txt,"Retail value of bakery products market forecast in the European Union (EU) in 2015 and 2019, by country* (in million US dollars)",statista/dataset/imgs/multi_col-4935.png,statista/dataset/data/multi_col-4935.csv,"This statistic shows a forecast of the retail value of the bakery products market in the European Union (EU) in 2015 and 2019. In 2015, the bakery products market reached 23.72 billion US dollars in France, which is forecast to decrease to 23.43 billion US dollars by 2019.","This statistic shows a forecast of the retail value of the bakery products market in the European Union (EU) in 2015 and 2019, by country. The bakery products retail value in France is forecast to be 23.1 billion US dollars in 2019.","This statistic shows the retail value of the bakery products market in the European Union (EU) in 2015 and 2019, by country. In 2015, the retail value of the bakery products market in France was forecasted to be around 23.71 billion US dollars, while the retail value of the market in Germany was forecasted to amount to approximately 23.10 billion US dollars.","This statistic shows the retail value of the bakery products market in the European Union (EU) in 2015 and 2019, by country. In 2015, the bakery products market in France had a retail value of approximately 23.42 billion U.S. dollars."
59,two_col-22854.txt,"Foreign direct investment (FDI) from Australia in the United States 2000 to 2019 (in billion U.S. dollars, on a historical-cost basis)",statista/dataset/imgs/two_col-22854.png,statista/dataset/data/two_col-22854.csv,"In 2019, the Australian foreign direct investments in the United States amounted to approximately 80.97 billion U.S. dollars. The total foreign direct investments in the U.S. were valued at approximately 4.46 trillion U.S. dollars in that year.","The statistic shows the foreign direct investments (FDI) from Australia in the United States from 2000 to 2019. In 2019, the FDI from Australia amounted to approximately 80.97 billion U.S. dollars.","In 2019, the Australian foreign direct investments in the United States amounted to approximately 80.97 billion U.S. dollars. The total foreign direct investments in the U.S. were valued at approximately 3.3 trillion U.S. dollars in that year.","This statistic shows the foreign direct investment (FDI) from Australia in the United States from 2000 to 2019. In 2019, the foreign direct investment from Australia in the United States amounted to approximately 80.97 billion U.S. dollars."
60,two_col-13019.txt,Business tourism spending outlook worldwide from 2020 to 2029 (in billion U.S. dollars),statista/dataset/imgs/two_col-13019.png,statista/dataset/data/two_col-13019.csv,"Business tourism or business travel is a branch of the tourism industry that is typically focused on travelers that are working and being paid. Business travelers have different requirements to leisure travelers including: convenience, value for money, high-speed internet, loyalty schemes, complimentary breakfasts and more. Activities often included in business travel are: meetings, exhibitions and/or business events. The outlook for global business tourism spending in 2029 is 2,364 billion U.S. dollars.","This statistic shows the business tourism spending outlook worldwide from 2020 to 2029. In 2029, the global business travel spending outlook is 2.32 trillion U.S. dollars.","This statistic shows the business tourism spending outlook worldwide from 2020 to 2029. In 2020, business tourism spending was forecasted to be 1.37 trillion U.S. dollars worldwide.","This statistic shows the business tourism spending outlook worldwide from 2020 to 2029. In 2029, global business tourism spending is expected to reach 2.3 trillion U.S. dollars."
61,two_col-3842.txt,"Number of registered Indians in Canada in 2018, by region",statista/dataset/imgs/two_col-3842.png,statista/dataset/data/two_col-3842.csv,"This statistic shows the number of registered Indians in Canada in 2018, by region. In 2018, 215,205 registered Indians lived in Ontario, Canada.","This statistic shows the total number of registered Indians in Canada in 2018, distinguished by region. In 2018, there were 94,065 registered Indians living in Yukon.","This statistic shows the number of registered Indians in Canada in 2018, distinguished by region. In 2018, there were 9,465 registered Indians living in Yukon.","This statistic shows the number of registered Indians in Canada in 2018, by region. In 2018, there were 215,205 Indians registered in Canada."
62,two_col-12479.txt,Percentage market share of the leading car brands in Switzerland in 2019,statista/dataset/imgs/two_col-12479.png,statista/dataset/data/two_col-12479.csv,"With a market share of around 11 percent, Volkswagen leads the passenger car market in Switzerland. Among Swiss residents, German cars consistently sell well, with three of the top-five most sold car brands being German.","This statistic shows the percentage market share of the leading car brands in Switzerland in 2019. That year, Volkswagen had the highest market share at 11.1 percent, followed by Mercedes at 8.6 percent.","Volkswagen was the leading car brand in Switzerland in 2019, with a market share of 11.1 percent. The German automobile manufacturer had a market share of 8.6 percent, followed by BMW with eight percent.","This statistic shows the percentage market share of the leading car brands in Switzerland in 2019. In that year, Volkswagen was the leading car brand in Switzerland with a market share of 12.3 percent, followed by Mercedes with a market share of 8.6 percent."
63,two_col-9687.txt,India: Main import partners in 2017,statista/dataset/imgs/two_col-9687.png,statista/dataset/data/two_col-9687.csv,"The statistic shows the main import partners for India in 2017. In 2017, India's main import partner was China, accounting for 16.3 percent of all imports.","The statistic shows the main import partners for India in 2017. In 2017, the most important import partner for India was China with a 16.3 percent share of all imports.","This statistic shows the main import partners for India in 2017. In 2017, the main import partner for India was China with a share of 16.3 percent of all imports.","This statistic shows the most important import partners for India in 2017. In 2017, the most important import partner for India was China with a share of 17.5 percent in all imports."
64,two_col-23485.txt,Travel and tourism GDP in the Canary Islands (Spain) from 2010 to 2018 (in million euros),statista/dataset/imgs/two_col-23485.png,statista/dataset/data/two_col-23485.csv,"This statistic shows the total contribution of travel and tourism to GDP in the Canary Islands (Spain) from 2010 to 2018, in million euros. The travel and tourism GDP amounted to over 16 billion euros in the region in 2018.",This statistic shows the annual growth of the travel and tourism GDP in the Canary Islands (Spain) from 2010 to 2018. The total annual GDP of the Spanish Islands increased from approximately 10.3 billion euros in 2010 to approximately 16.6 billion euros as of 2018.,"This statistic shows the travel and tourism GDP in the Canary Islands (Spain) from 2010 to 2018. In 2018, the GDP of the Canary Islands was approximately 16 billion euros.","This statistic shows the travel and tourism GDP in the Canary Islands (Spain) from 2010 to 2018. In 2018, the travel and tourism GDP in the Canary Islands amounted to approximately 16.0 billion euros."
65,two_col-24218.txt,"Value of global mining and metals sector deals in 2018, by targeted commodity (in billion U.S. dollars)",statista/dataset/imgs/two_col-24218.png,statista/dataset/data/two_col-24218.csv,"This statistic depicts the value of global mining and metals sector deals in 2018, by targeted commodity. In that year, deals regarding steel were worth some 11.8 billion U.S. dollars. That made steel ranked second among the top targeted commodities in 2018.","This statistic displays the value of global mining and metals sector deals in 2018, sorted by targeted commodity. In that year, the global deal value for rare earths and lithium amounted to some 1.2 billion U.S. dollars.","This statistic presents the value of global mining and metals sector deals in 2018, by targeted commodity. In that year, the value of deals in the mining and metals sector amounted to 13.9 billion U.S. dollars.","This statistic shows the value of global mining and metals sector deals in 2018, by targeted commodity. In that year, the value of global mining and metals sector deals amounted to about 13.9 billion U.S. dollars."
66,two_col-12524.txt,Cider dollar sales in Canada from FY 2011 to FY 2019 (in million Canadian dollars),statista/dataset/imgs/two_col-12524.png,statista/dataset/data/two_col-12524.csv,"This statistic shows the sales value of cider in Canada from FY 2011 to FY 2019. During the fiscal year ending March 31, 2019, cider sales in Canada amounted to approximately 286 million Canadian dollars, an increase from around 257.77 million the previous year.","This statistic shows the cider dollar sales in Canada from FY 2011 to FY 2019. In FY 2019, cider sales amounted to approximately 286 million Canadian dollars, an increase from around 257.77 million the previous year.","This statistic shows the sales value of cider in Canada from FY 2011 to FY 2019 in million Canadian dollars. In FY 2019, sales value of cider in Canada amounted to approximately 286 million Canadian dollars, up from 257.77 million the previous year.","This statistic shows the sales of cider in Canada from the fiscal year of 2011 to the fiscal year of 2019. In the fiscal year of 2019, Canadian cider sales amounted to approximately 256.16 million Canadian dollars."
67,two_col-12378.txt,"U.S. sweet potato production value from 2000 to 2019 (in 1,000 U.S. dollars)*",statista/dataset/imgs/two_col-12378.png,statista/dataset/data/two_col-12378.csv,"This statistic shows the production value of sweet potatoes in the United States from 2000 to 2019. According to the report, U.S. production of sweet potatoes was valued at approximately 588.125 million U.S. dollars in 2019.","This statistic shows the production value of sweet potatoes in the United States from 2000 to 2019. According to the report, the U.S. sweet potato production value amounted to approximately 588.1 million dollars in 2019.","This statistic shows the production value of sweet potatoes in the United States from 2000 to 2019. According to the report, U.S. sweet potato production was valued at approximately 588.12 million U.S. dollars in 2019.","This statistic shows the production value of sweet potatoes in the United States from 2000 to 2019. In 2019, the production value of sweet potatoes in the United States amounted to approximately 588.125 million U.S. dollars."
68,two_col-22663.txt,Lithuania: Employment from 2010 to 2020 (in millions),statista/dataset/imgs/two_col-22663.png,statista/dataset/data/two_col-22663.csv,"This statistic shows the employment in Lithuania from 2010 to 2018, with projections up until 2020. In 2018, around 1.38 million people were employed in Lithuania.","This statistic shows the employment in Lithuania from 2010 to 2018, with projections up until 2020. In 2018, around 1.38 million people were employed in Lithuania.","This statistic shows the employment in Lithuania from 2010 to 2018, with projections up until 2020. In 2018, around 1.38 million people were employed in Lithuania.","This statistic shows the employment in Lithuania from 2010 to 2019, with projections up until 2020. In 2019, about 1.13 million people were employed in Lithuania."
69,two_col-16183.txt,Tennessee Titans all-time rushing leaders from 1960 to 2020 (in yards),statista/dataset/imgs/two_col-16183.png,statista/dataset/data/two_col-16183.csv,"The statistic shows Tennessee Titans players with the most rushing yards in franchise history. Eddie George is the career rushing leader of the Tennessee Titans with 10,009 yards.","The statistic shows Tennessee Titans players with the most rushing yards in franchise history. Eddie George is the career rushing leader of the Tennessee Titans with 10,009 yards.","The statistic shows Tennessee Titans players with the most rushing yards in franchise history. Eddie George is the career rushing leader of the Tennessee Titans with 10,009 yards.","The statistic shows Tennessee Titans players with the most rushing yards in franchise history. Eddie George is the career rushing leader of the Tennessee Titans with 10,009 yards."
70,two_col-21515.txt,Number of enterprises in the manufacture of plastics products industry in Sweden from 2008 to 2017,statista/dataset/imgs/two_col-21515.png,statista/dataset/data/two_col-21515.csv,"This statistic shows the number of enterprises in the manufacture of plastics products industry in Sweden from 2008 to 2017. In 2017, there were 1,294 enterprises manufacturing plastics products.","This statistic shows the number of enterprises in the manufacture of plastics products industry in Sweden from 2008 to 2017. In 2017, there were 1,94 enterprises manufacturing plastics products in Sweden.","This statistic shows the number of enterprises in the manufacture of plastics products industry in Sweden from 2008 to 2017. In 2017, there were 1,294 enterprises manufacturing plastics products in Sweden.","This statistic shows the number of enterprises in the manufacture of plastics products industry in Sweden from 2008 to 2017. In 2017, there were 330 enterprises manufacturing plastics products in Sweden."
71,two_col-19450.txt,Total income of private sector banks across India between FY 2017 and FY 2019 (in trillion Indian rupees),statista/dataset/imgs/two_col-19450.png,statista/dataset/data/two_col-19450.csv,"In fiscal year 2019, private sector banks across India earned a total income of almost 4.7 trillion Indian rupees. This marked an increase compared to the previous year when the total income of private sector banks amounted to a little over four trillion rupees.  However, Indian banks were facing an asset crisis, and in fiscal year 2019, the value of non-performing assets of private banks across the country amounted to over 1.8 trillion Indian rupees.","At the end of fiscal year 2019, the income of private sector banks across India amounted to over 4.67 trillion Indian rupees. This was an increase from the previous fiscal year, when the income amounted to approximately 4.02 trillion rupees across the country.","In fiscal year 2019, the total income of private sector banks across India amounted to over four trillion Indian rupees. This was a decrease from the previous fiscal year, in which the total income of private sector banks amounted to around four trillion rupees.","In fiscal year 2019, the total income of private sector banks across India amounted to approximately 4.67 trillion Indian rupees. This was a decrease from the previous fiscal year, when the total income of private sector banks across the country amounted to around 3.43 trillion rupees."
72,two_col-16772.txt,Number of employees of WD-40 Company worldwide from FY 2014 to FY 2020,statista/dataset/imgs/two_col-16772.png,statista/dataset/data/two_col-16772.csv,"This statistic displays the number of people employed by the WD-40 Company worldwide from 2014 to 2020, as of the fiscal year end on August 31. WD-40 Company is a household chemicals manufacturer based in San Diego, California. In 2020, WD-40 Company had 522 employees worldwide.","This statistic depicts the number of employees of WD-40 Company worldwide from FY 2014 to FY 2020. In fiscal year 2020, WD-4 Company employed a total of 522 people worldwide.","This statistic shows the number of employees of WD-40 Company worldwide from FY 2014 to FY 2020. In FY 2020, WD-40 Company employed 522 people worldwide.","This statistic shows the number of employees of WD-40 Company worldwide from the fiscal year of 2014 to the fiscal year of 2020. In the fiscal year of 2020, WD-40 Company employed 365 people worldwide."
73,two_col-1741.txt,"Monthly wages of conscripted soldiers in South Korea in 2020, by military rank (in 1,000 South Korean won)",statista/dataset/imgs/two_col-1741.png,statista/dataset/data/two_col-1741.csv,"The lowest-ranking solider in the South Korean military, the private second class was paid over 408 thousand South Korean won per month in 2020. This is 102 thousand won more than he was paid in the previous year. Conscript soldiers in South Korea, who are without exception young men doing their mandatory military service for a period of around 18 to 20 months, are paid between 400 and 540 thousand South Korean won in 2020. Wages for all conscripted ranks increased by at least 100 thousand won compared to the year before.","This statistic shows the monthly wages of conscripted soldiers in South Korea in 2020, by military rank. In 2020, a soldier with a military rank of private second class earned around 408.1 thousand South Korean won per month.","The statistic shows the monthly wages of conscripted soldiers in South Korea in 2020, by military rank. In 2020, the monthly wages of a Sergeant in South Korea amounted to 540.9 thousand South Korean won.","This statistic shows the monthly wages of conscripted soldiers in South Korea in 2020, by military rank. In that year, the average monthly wage of a private first class soldier in South Korea amounted to 540.9 thousand South Korean won."
74,two_col-27302.txt,EU-27 wood pellet imports from Southeastern U.S. between 2009 and 2012 (in million metric tons),statista/dataset/imgs/two_col-27302.png,statista/dataset/data/two_col-27302.csv,"This statistic shows imports of wood pellets from Southeastern United States into the 27 member states of the EU (as of 2012) between 2009 and 2012. In 2011, the Southern U.S. exported about one million metric tons of wood pellets to the European Union.","This statistic represents imports of wood pellets from the Southeastern United States (EU-27) between 2009 and 2012. In 2009, the EU-27 imported 0.5 million metric tons wood pellets.","This statistic shows the imports of wood pellets from the Southeastern United States to the 27 member states of the European Union between 2009 and 2012. In 2010, 0.8 million metric tons of wood pellets were imported from the Southeastern U.S.","This statistic shows the imports of wood pellets from the Southeastern U.S. to the EU-27 countries between 2009 and 2012. In 2012, the imports of wood pellets from the Southeastern U.S. amounted to approximately 1.6 million metric tons."
75,two_col-27553.txt,Venezuela: Share in global gross domestic product (GDP) adjusted for Purchasing Power Parity (PPP) from 2009 to 2019,statista/dataset/imgs/two_col-27553.png,statista/dataset/data/two_col-27553.csv,"The statistic shows Venezuela's share in the global gross domestic product (GDP) adjusted for Purchasing Power Parity (PPP) from 2009 to 2019. In 2018, Venezuela's share in the global gross domestic product adjusted for Purchasing Power Parity amounted to approximately 0.24 percent.","The statistic shows Venezuela's share in the global gross domestic product (GDP) adjusted for Purchasing Power Parity (PPP) from 2009 to 2019. In 2019, Venezuela's increase in global GDP amounted to approximately 0.15 percent.","The statistic shows Venezuela's share in the global gross domestic product (GDP) adjusted for Purchasing Power Parity (PPP) from 2009 to 2019. In 2019, Venezuela's share in the global gross domestic product adjusted for Purchasing Power Parity amounted to approximately 0.15 percent.","The statistic shows Venezuela's share in the global gross domestic product (GDP) adjusted for Purchasing Power Parity (PPP) from 2009 to 2019. In 2019, Venezuela's share in the global gross domestic product adjusted for Purchasing Power Parity amounted to approximately 0.53 percent."
76,two_col-15821.txt,Food and drink sales of restaurants located in recreation and sports places in the United States from 2009 to 2017 (in billion U.S. dollars),statista/dataset/imgs/two_col-15821.png,statista/dataset/data/two_col-15821.csv,"This statistic shows the food and drink sales of restaurants located in recreation and sports places in the United States from 2009 to 2017. Sales of restaurants located in recreation and sports places, including those in movie theaters, bowling lanes and recreation and sports centers, were forecasted to reach 17.7 billion U.S. dollars in 2017.",This statistic shows the food and drink sales of restaurants located in recreation and sports places in the United States from 2009 to 2017. Sales of restaurants were forecasted to reach 17.7 billion U.S. dollars in 2017.,"This statistic shows the food and drink sales of restaurants located in recreation and sports places in the United States from 2009 to 2017. In 2015, food and drink sales of restaurants located in recreation and sports places in the United States amounted to 15.79 billion U.S. dollars.","This statistic shows the food and drink sales of restaurants located in recreation and sports places in the United States from 2009 to 2017. In 2017, food and drink sales of restaurants located in recreation and sports places amounted to approximately 16.43 billion U.S. dollars."
77,two_col-1060.txt,Year-on-year growth of Amazon Web Services revenues from 1st quarter 2014 to 3rd quarter 2020,statista/dataset/imgs/two_col-1060.png,statista/dataset/data/two_col-1060.csv,"In the third quarter of 2020, revenues of AWS grew 29 percent compared to the preceding quarter. AWS is one of Amazon's strongest revenue segments, generating 35.03 billion U.S. dollars in 2019 net sales, up from 17.46 billion U.S. dollars in 2017. AWS ranks as one of the most popular public cloud infrastructure and platform services running applications worldwide in 2019, ahead off Azure and Google cloud services.","This statistic shows the year-on-year growth of Amazon Web Services revenues from the first quarter of 2014 to the third quarter of 2020. In the most recently reported quarter, Amazon Web services revenues grew 29 percent compared to the corresponding quarter of the previous year.","This statistic shows the year-on-year growth of Amazon Web Services revenues from the first quarter of 2014 to the third quarter of 2020. In the most recently reported quarter, Amazon Web Services revenues grew 29 percent compared to the same quarter in the previous year.","This statistic shows the year-on-year growth of Amazon Web Services revenues from the first quarter of 2014 to the third quarter of 2020. In the third quarter of 2020, Amazon Web Services revenues grew by 20 percent compared to the same quarter in the previous year."
78,two_col-23119.txt,"Level of support among U.S. adults for the protests in response to the death of George Floyd, as of June 2020",statista/dataset/imgs/two_col-23119.png,statista/dataset/data/two_col-23119.csv,"As of mid-June 2020, a majority of U.S. adults supported the protests held in response to the killing of George Floyd, with 38 percent of respondents strongly supporting and 26 percent somewhat supporting the protests. By contrast, 20 percent of respondents opposed the protests.","As of mid-June 2020, 38 percent of U.S. adults strongly supported the protests held in response to the killing of George Floyd, compared to 26 percent who either somewhat or strongly opposed the protests.","As of June 2020, 38 percent of U.S. adults strongly supported the protests held in response to the killing of George Floyd. Only six percent of respondents either strongly or somewhat opposed the protests.","This statistic shows the level of support among U.S. adults for the protests in response to the killing of George Floyd, as of June 2020. During the survey, 14 percent of respondents stated that they strongly supported the protests."
79,two_col-399.txt,"Top 10 U.S. states by inventory of hogs and pigs as of March 2020 (in 1,000s)*",statista/dataset/imgs/two_col-399.png,statista/dataset/data/two_col-399.csv,"Hogs and pigs are one of the main sources of meat in the United States, and there is a thriving domestic pork market. As of March 2020, Iowa had an inventory of about 24.6 million hogs and pigs, making it the top producer of swine in the country by a large margin. In that same year, the second largest producer of hogs and pigs was Minnesota, with about 9.3 million head.","This statistic shows the top 10 U.S. states by inventory of hogs and pigs as of March 2020. According to the report, Iowa had a total inventory of about 24.6 million hogs or pigs that year.",This statistic shows the top 10 U.S. states by inventory of hogs and pigs as of March 2020. Iowa had the highest inventory of hogs and pigs at 24.600 thousand.,"This statistic shows the top 10 U.S. states by inventory of hogs and pigs as of March 2020. As of March 2020, Iowa had an inventory of approximately 24.6 million hogs and pigs."
80,two_col-2593.txt,"Number of coronavirus (COVID-19) cases in Serbia as of January 6, 2021",statista/dataset/imgs/two_col-2593.png,statista/dataset/data/two_col-2593.csv,"As of January 6, 2021, there were 352,120 confirmed cases of coronavirus (COVID-19) in Serbia. By that time, 2,358,102 individuals had been tested. For further information about the coronavirus (COVID-19) pandemic, please visit our dedicated Facts and Figures page.","As of January 6, 2021, Serbia confirmed 352,120 cases of the coronavirus (COVID-19). Of these, 2.3 million were tested and 2.4 million were positive.  For further information about the coronavidus pandemic, please visit our dedicated Facts and Figures page.","As of January 6, 2021, there were 352,220 confirmed cases of coronavirus (COVID-19) in Serbia. The number of tests carried out in Serbia has reached over 2.3 million. For further information about the coronavirus (COVID-19) pandemic, please visit our dedicated Facts and Figures page.","As of January 6, 2021, the number of confirmed coronavirus (COVID-19) cases in Serbia amounted to approximately 2.3 million. The number of people tested for COVID-19 amounted to approximately 352 thousand. For further information about the coronavirus (COVID-19) pandemic, please visit our dedicated Facts and Figures page."
81,two_col-2567.txt,Average monthly active users (MAU) of Zynga mobile games from 4th quarter 2012 to 3rd quarter 2020 (in millions),statista/dataset/imgs/two_col-2567.png,statista/dataset/data/two_col-2567.csv,"This statistic contains data on Zynga's monthly active users. In the third quarter of 2020, the social network game developer based in San Francisco, California, reached an average of 83 million monthly active users. At the same time, Zynga reported daily active user numbers reaching 31 million.","This statistic shows the quarterly average monthly active users (MAU) of Zynga mobile games from the fourth quarter of 2012 to the third quarter of 2020. In the last reported quarter, ZyngA reported an average of 83 million MAU.","This statistic shows the average monthly active users (MAU) of Zynga games from the fourth quarter of 2012 to the third quarter of 2020. In the third quarter of 2020, Zynga had an average of 83 million monthly active users.","This statistic presents the average monthly active users (MAU) of Zynga mobile games from the fourth quarter of 2012 to the third quarter of 2020. In the third quarter of 2020, Zynga had an average of 298 million monthly active users."
82,two_col-21346.txt,"Number of self-employed in the United Kingdom (UK) from July 2018 to June 2019, by major occupational group (in 1,000s)",statista/dataset/imgs/two_col-21346.png,statista/dataset/data/two_col-21346.csv,"This statistic shows a distribution of all self-employed workers in the United Kingdom (UK) from July 2018 to June 2019, by major occupational group. The number of the total self-employed workforce that are working in skilled trade occupations exceeds 1.2 million workers, making skilled trade occupations the main occupational group of the self-employed workforce in the United Kingdom in 2018/19.","This statistic shows the total number of self-employed in the United Kingdom (UK) from July 2018 to June 2019, by major occupational group. Self-employed are those who are temporarily absent from their regular jobs because of illness, work or various personal reasons. The largest occupational group was those in skilled trades, with a total of over 1.1 million selfemployed.","This statistic shows the number of self-employed in the United Kingdom (UK) from July 2018 to June 2019, by major occupational group. The most common occupation for self-employed individuals was skilled trades, with over 1.21 million people employed.","This statistic shows the number of self-employed in the United Kingdom (UK) from July 2018 to June 2019, by major occupational group. In the period from July 2018 to June 2019, the number of self-employed in the United Kingdom amounted to approximately 294 thousand."
83,two_col-22463.txt,Most important limitations of online education during the coronavirus (COVID-19) pandemic in Romania in 2020,statista/dataset/imgs/two_col-22463.png,statista/dataset/data/two_col-22463.csv,"The majority of respondents stated that the most significant limitation of online learning was the inability to provide personalized support for students with special learning needs. Nevertheless, over 50 percent found it challenging to monitor the learning process via online classes.  For further information about the coronavirus (COVID-19) pandemic, please visit our dedicated Facts and Figures page.","The most important limitations of online education during the coronavirus (COVID-19) pandemic in Romania were personalized support for students with special learning needs, according to 63.8 percent of respondents. Moreover, 65.3 percent of the respondents stated that they believed that human contact was one of the most important hindrances of online learning during the pandemic.","During the coronavirus (COVID-19) pandemic in Romania, online education was one of the most important limitations of the country's educational system. According to the survey, 63.8 percent of respondents stated that personalized support for students with special learning needs was the most important factor.","According to the results of a survey, personalized support for learning students with special learning needs was the most important limitation of online education during the coronavirus (COVID-19) pandemic in Romania in 2020. According to the survey, 63.8 percent of respondents stated that their most important limitation was personalized support for learning students with special learning needs. For further information about the coronavirus (COVID-19) pandemic, please visit our dedicated Facts and Figures page."
84,two_col-25868.txt,"Number of state-led interventions in the internet freedom in Russia in 2019, by type",statista/dataset/imgs/two_col-25868.png,statista/dataset/data/two_col-25868.csv,"In 2019, Russian state authorities imposed a ban on information on the internet nearly 273 thousand times. The second most common intervention was to restrict access to particular online source in the country.","This statistic shows the number of state-led interventions in the internet freedom in Russia in 2019, by type. In 2019, over 2.7 million interventions were aimed at restricting access to the internet, including restrictions of access to internet sources.","This statistic shows the number of state-led interventions in the internet freedom in Russia in 2019, by type. In 2019, the number of interventions was 275,785. The most common type of intervention was a ban on information by state authorities.","This statistic shows the number of state-led interventions in the internet freedom in Russia in 2019, by type. In 2019, 272,785 interventions by the state authorities restricted access to internet sources."
85,two_col-23518.txt,"Export volume of cut flowers from Kenya between January 2019 and October 2020 (in 1,000 metric tons)",statista/dataset/imgs/two_col-23518.png,statista/dataset/data/two_col-23518.csv,"The export volume of cut flowers from Kenya increased to 14.5 thousand metric tons in October 2020, maintaining an upward tendency started in July. The growth approximated the export volume to the levels observed before a strong fall in the second quarter of 2020, which coincided to the outbreak of the COVID-19 pandemic.","In October 2020, the export volume of cut flowers from Kenya amounted to approximately 14.5 thousand metric tons, a decrease from the previous month. The highest export volume was recorded in February 2020 at approximately 17.6 thousand tons.","In October 2020, exports of cut flowers from Kenya amounted to 14.5 thousand metric tons. The exports of cut flowers from Kenya peaked in March 2020 at around eight thousand metric tons.","In October 2020, the export volume of cut flowers from Kenya amounted to approximately 19.4 thousand metric tons. The export volume of cut flowers from Kenya amounted to approximately 1.3 million metric tons that month."
