number,File_No,title,ocr-text,img,Gold Standard,OCR-BART,OCR-T5
304,two_col-666.txt,Most Venezuelans see government entities as a negative influence Influence on the way things are going in Venezuela,"Most Venezuelans see government  | entities as a negative influence  | Influence on the way things are going in Venezuela  | Bad  | Good  | National govt 68%  | 30%  | Court.system  | 65  | 30  | Military  | 63  | 33  | Media  | 39  | 59  | Source: Spring 2015 Global Attitudes survey. Q793-0, e.  | PEW RESEARCH CENTER ",pew/dataset/imgs/two_col-666.png,"When asked about major national institutions in Venezuela, there is a clear consensus that government-run organizations are having a bad influence on the country. More than six-in-ten say the national government (68%), the court system (65%) and the military (63%) are having negative influences on the way things are going in Venezuela.",Most Venezuelans say government entities are having a negative influence on the way things are going in the country.,"In the current poll, Venezuelans say the national government is having a bad influence on the way things are going in the country. Fully 68% say this about the national government, with 30% viewing it positively. Fully 63% also say the court system is having a bad influence. While 63% say the military influences the country negatively, only 39% say the same about the media."
305,multi_col-7390.txt,"Figure Population 2 Annual Increase in Mexican- Bom Population That Entered the U.S in 1990 for Later Measured on a Quarterly Basis, 2005 to 2007","Figure Population 2  | Annual Increase in Mexican- Bom Population That Entered the U.S  | in 1990 for Later Measured on a Quarterly Basis, 2005 to 2007  | 735  | Thousands  | Average 2005 2006 : 495  | 599  | 590  | 546  | 490  | 420  | 404  | 288  | 175  | Jan. -Mar. Apr.-June July-Sep. Oct-Dec. Jan.- Mar. Apr--June July-Sep. Oct.- -Dec Jan.-Mar.  | 2005  | 2005  | 2005  | 2005  | 2006  | 2006  | July-Sep. 2006  | 2006  | 2007  | Note: The annual increase is the increase in population from the same quarter the previous year.  | Source: Pew Hispanic Center tabulations of Current Population Survey data ",pew/dataset/imgs/multi_col-7390.png,"Across the eight quarters of 2005 and 2006, the annual increase in the Mexican immigrant population averaged 495,000 persons (Figure 2). To arrive at this estimate, each of the four quarters of 2005 were compared to the same quarters in 2004, and the four quarters of 2006 were compared to the same quarters in 2005. In other words, new immigration from Mexico, net of return migration and other smaller factors added an average of 495,000 people a year measured on a quarterly basis across the whole of 2005 and 2006. However, in the first quarter of 2007 the annual growth since the first quarter of 2006 dropped to 288,000 persons.","Another way of looking at the data is to compare the rate of annual increase on a quarterly basis, i.e. the percent growth in population from the same quarter in the previous year. Again, the first quarter of 2007 is strikingly different from the average across the eight quarters that preceded it. On average, this population grew at a rate of 1.4% a year in 2005 and 2006 On average it grew a smaller rate (4.2% a quarter in 2005 to 5.1% in 2007). In the first half of 2007, however, it continued to grow, but the annual growth rate of the population","As the number of new immigrant arrivals on a quarterly basis has increased, so too has the annual increase in population. As shown in Figure 2, the annual increase in population from the same quarter in the previous year is slower than the annual increase in population from the same quarter in 2005 to 2007."
306,multi_col-5234.txt,"Middle East Sympathies, 1978-2014 In Palestinians the dispute between Israel sympathize and the Palestinians dispute with who more? do you (%) sympathize Sympathize more (%) with Israel, by party with more? (%)","Middle East Sympathies, 1978-2014  | In Palestinians the dispute between Israel sympathize and the  | Palestinians dispute with who more? do you (%) sympathize Sympathize more (%) with Israel, by party  | with more? (%)  | (%)  | Rep  | .73  | 51  | Ind  | Israel  | 45  | 45  | 44  | Dem  | The Palestinians  | 84 90 96 02 08 14 78 84 90 96 02 08 14  | 78  | Survey conducted July 8-14, 2014 Volunteered Both, ""Neither, Don 'tknow"" responses  | Survey notshown conducted 1978 1990 July 8-14, data from the Volunteered Chicago Council Both, on ""Neither, Foreign Relations. Don 'tknow""  | PEW RESEARCH CENTER ",pew/dataset/imgs/multi_col-5234.png,"As violence between Israel and Hamas shows no signs of abating, the sympathies of the American public continue to lie with Israel rather than the Palestinians. And dating back to the late 1970s, the partisan gap in Mideast sympathies has never been wider.
Currently, 51% of Americans say that in the dispute between Israel and the Palestinians, they sympathize more with Israel. Just 14% sympathize more with the Palestinians, while 15% volunteer that they sympathize with neither side and 3% sympathize with both.
These views are little changed from April, before the recent outbreak of Mideast violence. However, the share of Republicans who sympathize more with Israel has risen from 68% to 73%; 44% of Democrats express more sympathy for Israel than the Palestinians, which is largely unchanged from April (46%). The share of independents siding more with Israel than the Palestinians has slipped from 51% to 45%.","In the ongoing dispute between Israel and the Palestinians, a 53% majority sympathizes more with Israel, while far fewer (11%) sympathize more with the Palestinians; 16% volunteer that they sympathize with neither side.","In the ongoing dispute between Israel and the Palestinians, a 51% majority sympathizes more with Israel, while far fewer (11%) sympathize more with the Palestinians; 44% volunteer that they sympathize with neither side."
307,multi_col-6485.txt,Both e-reader and tablet ownership far behind other devices %of adults who own each gadget 100% 56% 50% 52%,"Both e-reader and tablet ownership far behind other devices  | %of adults who own each gadget  | 100%  | 90%  | 80%  | 83%  | 70%  | 60%  | 57%  | 56%  | 50%  | 52%  | 40%  | 44%  | 30%  | 20%  | 10%  | 12%  | 8%  | 0%  | Cell Phone Desktop  | Tablet  | Laptop  | DVR  | MP3  | e-Reader  | Source: 2011 tracking The Pew Research N=2,277 Center's adults Internet 18 & and American older. Interviews Life Project, conducted April 26-May 22  | 2011 English tracking and Spanish survey. N=2,277 of adults ages 18 and older. Interviews conducted April 26-May in  | English tracking and Spanish Margin of error : ages +/-2 percentage points. ",pew/dataset/imgs/multi_col-6485.png,"Both e-book reader and tablet computer adoption levels among U.S. adults are still well below that of other tech devices that have been on the market longer. Cell phones are far and away the most popular digital device among U.S. adults today, followed by desktop and laptop computers, DVRs, and MP3 players.","When it comes to personal communication devices, e-book readers are the most popular piece of personal technology, while tablet computers and e-readers are each owned by around half of adults.","The rise of e-book reading is tied to the steady increase in ownership of desktop and laptop computers among adults. E-readers are now on the rise among adults, far behind other devices such as a cell phone, a desktop computer or a laptop. But the share of adults who own an e-book reader has also increased dramatically since 2009."
308,multi_col-7665.txt,North Korea a Danger to Region,North Korea a Danger to Region  | (May Danger 2003)  | Australia  | 39  | 40  | United States  | 38  | 39  | Germany  | 37  | 40  | 31  | Great Britain  | 40  | Canada  | 33  | 37  | South Korea  | 28  | France  | 18  | 38  | Indonesia  | 14  | 25  | Russia  | 12  | Great danger Moderate danger ,pew/dataset/imgs/multi_col-7665.png,"The six-party talks on North Korea – involving the United States, South Korea, North Korea, China, Japan and Russia – slated to begin Aug. 27 in Beijing reflect global public concern that the regime in Pyongyang poses a serious threat to Asian stability. But U.S. efforts to defuse the North Korean crisis take place against a backdrop of rising anti-Americanism in South Korea and occur at a time when fewer South Koreans show concern about the threat posed by their northern neighbor than do Americans, Australians and many Europeans.","The six-party talks on North Korea – involving the United States, South Korea, North Korea, China, Japan and Russia – slated to begin Aug. 27 in Beijing reflect global public concern that the regime in Pyongyang poses a serious threat to Asian stability. But U.S. efforts to defuse the North Korean crisis take place against a backdrop of rising anti-Americanism in South Korea and occur at a time when fewer South Koreans show concern about the threat posed by their northern neighbor than do Americans, Australians and many Europeans.","The six-party talks on North Korea – involving the United States, South Korea, North Korea, China, Japan and Russia – slated to begin Aug. 27 in Beijing reflect global public concern that the regime in Pyongyang poses a serious threat to Asian stability. But U.S. efforts to defuse the North Korean crisis take place against a backdrop of rising anti-Americanism in South Korea and occur at a time when fewer South Koreans show concern about the threat posed by their northern neighbor than do Americans, Australians and many Europeans."
309,multi_col-7618.txt,Good dip domacy is the best way to ensure peace,Good dip domacy is the best way to  | ensure peace  | 76  | 64  | 63  | 62  | 60 Manishouth  | 60  | 49  | 46  | 39  | 1996  | 1998  | 2000  | 2002  | 2004  | 1994  | Republican with Democrat  | Independent ,pew/dataset/imgs/multi_col-7618.png,"However, an increasing number of Republicans subscribe to the view that military strength — rather than effective diplomacy — is the best way to ensure peace. The percentage endorsing diplomacy as the better option dropped from 46% in 1999 to 32% in 2004.
The movement among Democrats — in the opposite direction — has been just as dramatic. In the 1990s, roughly 60% of Democrats expressed the view that good diplomacy was the best way to ensure peace; that number rose to 76% in 2004.","Democrats are far more likely than Republicans to say that democracy is the best way to ensure peace: 76% of Democrats say this, compared with 60% of Republicans. The proportion of Republicans with a positive view of democracy also has increased substantially since the 1990s, from 49% to 46%.","There has been a gradual decline in the percentage of Americans who believe that government should play a role in ensuring peace; a strong majority of Americans (62%) now say government should play a role in ensuring peace, down from 64% in 1998. In contrast, the percentage saying government should play a role in promoting peace has risen from 54% to 60% since 1998."
310,multi_col-1295.txt,"U.S. veterans in their prime working years generally more likely than non-veterans to be employed Employment-to--o--0 population ratio, veterans ages 25-54 (not seasonally adjusted)","U.S. veterans in their prime working years generally  | more likely than non-veterans to be employed  | Employment-to--o--0 population ratio, veterans ages 25-54  | (not seasonally adjusted)  | 90%  | matanamatically Veterans  | matanamatically Veterans  | 80  | Non-veterans  | 70  | Aug.  | Aug.  | Aug  | Aug.  | Aug.  | Aug  | Aug  | 10  | '19  | '06  | '88  | 12  | '14  | '16  | Source: Pew Research Center analysis of Bureau of Labor Statistics data,  | PEW RESEARCH CENTER ",pew/dataset/imgs/multi_col-1295.png,"Most U.S. veterans who served in the post-9/11 era say their military service was useful in giving them skills and training needed for jobs outside the military, a new Pew Research Center report finds. And in fact, veterans of prime working age generally fare at least as well in the U.S. job market as non-veterans, though there are some differences in the work they do and in which industries.","When it comes to the employment rate, veterans ages 25 to 54 are still more likely than non-veterans to be employed full- or part-time, according to a new Pew Research Center analysis of BLS data. In August 2016, which was just before the Great Recession, 62% of all 25- to 54-year-olds had been employed; a similar share (70%) had been in their teens or early 20s.","In August 2018, 72% of veterans ages 25 to 54 were employed, compared with 73% of non-veterans. The employment-to-population ratio, which is not seasonally adjusted, has been stable for about a decade."
311,multi_col-5716.txt,Fewer Alternative Republicans Energy Research Back More Alternative Republicans Energy Research 84 Democrat 75 Independent,"Fewer Alternative Republicans Energy Research Back More  | Alternative Republicans Energy Research  | 55  | 84 Democrat  | 77  | 75 Independent  | 58 Republican  | 2006  | 2013  | And Better Vehicle Fuel Standards  | 87  | 86  | 84 Democrat  | 85  | .74 Independent  | 60 Republican  | 2006  | 2013  | PEW RESEARCH CENTER Sept, 4-8, 2013, ",pew/dataset/imgs/multi_col-5716.png,"Just a few years ago, there was broad agreement on some – though not all – energy policy objectives. In 2006, during George W. Bush’s presidency, comparable majorities of independents (85%), Republicans (82%) and Democrats (77%) favored increasing federal funding for research on wind, solar and hydrogen technology.
Since then, support for funding alternative technology research has fallen by 24 points among Republicans (to 58%) and 10 points among independents (75%), while increasing slightly among Democrats (84%). Much of the change in opinions among Republicans came after Barack Obama took office in 2009. In September 2008, 85% of Republicans and 77% of independents favor increased funding for alternative energy research; in May of 2010, 61% of Republicans and 73% of independents favored more funding for alternative energy research.
There has been a similar trend in opinions about requiring better fuel efficiency for cars, trucks and SUVs. Seven years ago, large majorities across all partisan groups (87% of independents, 86% of Democrats and 85% of Republicans) favored higher fuel efficiency standards. The percentage of Democrats favoring this has changed little over this period (currently 84% favor), while falling 25 points among Republicans and 13 points among independents.","These partisan differences are particularly striking. In the Pew Research survey, 84% of Republicans describe themselves as “ Alternative Republicans” compared with 77% of Democrats and 86% of independents. Alternative Republicans are also much more likely to say they believe alternative energy research is better for the country than to say the same about Vehicle Fuel Standards (75% vs. 86%).","The survey finds that there has been a substantial decline in support for alternative energy research in recent years. Just 55% of Americans now favor more alternative research in the area of energy research, down from 77% in June and 75% in 2006."
312,multi_col-3571.txt,"Wide partisan divides over same-sex wedding services and public restroom use by transgender people Ifyou had to choose, which comes closest to your view? (%) wedding services provide should be required to provide those","Wide partisan divides over same-sex wedding services  | and public restroom use by transgender people  | Ifyou had to choose, which comes closest to your view? (%)  | Transgender people should be  | Businesses wedding that provide  | wedding services provide should be  | able to refuse to provide those  | required to use gender the public  | services to same -sex couples if  | restrooms of the gender they  | the objections business owner has religious  | objections to homosexuality religious  | were born into  | Total  | Dem/  | Rep/  | Dem/  | Total  | Rep/ Lean  | Lean  | Lean  | Lean  | Lean  | Dem  | Rep  | Dem  | Rep  | 71  | 67  | 48  | 46  | 30  | 29  | 27  | 30  | 49  | 51  | 67  | 68  | required to provide those  | allowed to use the public  | services to same sex couples  | restrooms of the gender with  | just as they would to all other  | which they currently gender identify  | customers  | Note: Don 't know/ No answer not shown.  | Source: Survey cond lucted Aug 16Se pt. 12 2016  | ""Where the Public Stands on Aug Re ligious Liberty vs Nondiscrimination""  | PEW RESEARCH CENTER ",pew/dataset/imgs/multi_col-3571.png,"Clear majorities of Democrats and independents who lean Democratic say that, regardless of religious objections, those providing wedding services should treat same-sex couples the same as other customers (67%), and that transgender people should be able to use facilities for the gender with which they currently identify (68%). In contrast, similar-sized majorities of Republicans and Republican leaners say that wedding-related business owners should be able to refuse service to same-sex couples on religious grounds (71%), and that transgender people should be required to use the public restrooms of the gender they were assigned at birth (67%).","There are also wide partisan differences on this question. For example, 71% of Democrats and Democratic-leaning independents say that businesses that provide wedding services to same-sex couples should be able to refuse to use the restroom of the gender with their objections to homosexuality. A smaller majority of Republicans and Republican leaners (67%) say this.","For the first time in a Pew Research Center survey, we found that about seven-in-ten (71%) Americans now favor requiring businesses to provide wedding services to same-sex couples, even if the owner of those services has religious objections to homosexuality. A third (33%) favor requiring businesses to serve same-sex couples to provide public restrooms, while just 27% support requiring them to use the restrooms they currently identify as gay."
313,multi_col-5228.txt,"Low Ratings for Obama on Economy, Foreign Policy View ofObama's handling of Economy Foreign policy","Low Ratings for Obama on Economy, Foreign Policy  | View ofObama's handling of  | Economy  | Foreign policy  | Disapprove 65  | Disapprove  | Disapprove 60  | 57  | 56  | 56  | 55  | 52  | 40  | 36  | 34  | 33  | 31  | Approve  | Approve  | 24  | 09  | 10  | 11 12 13 14  | 09 10 11 12 13 14  | Survey conducted July 8-14. 2014 Don 'tknow responses notshown.  | PEW RESEARCH CENTER ",pew/dataset/imgs/multi_col-5228.png,"Negative ratings also extend to Obama’s handling of the U.S. economy. A 56%-majority disapproves of how Obama is dealing with the economy, compared with 40% who say they approve. While ratings of Obama’s job on the economy are poor, as they have been throughout much of his presidency, they have been worse at other points in his presidency, when disapproval reached into the 60s.
Similarly, far more disapprove (55%) than approve (36%) of Obama’s handling of foreign policy, though his current ratings are little different than they were last fall.","As has been the case over the past year, Obama’s ratings on both economic and foreign policy are negative on balance. Currently, 34% say they approve of the way Obama is handling the economy while 57% disapprove. On foreign policy, Obama garners more negative ratings than positive on the economy.","As has been the case throughout Obama’s presidency, public approval of his handling of the economy is at its lowest point in nearly two decades."
314,multi_col-7193.txt,"Figure 3 Hispanic Favorability Figure Ra tings of Political Figures (registeredHispanic voters,","Figure 3  | Hispanic Favorability Figure Ra tings of Political Figures  | (registeredHispanic voters,  | Unfavorable  | Favorable  | Oba ma  | 76  | Clinton  | 73  | 24  | McCain  | 47  | 44  | Bush  | 69  | 27  | Note: Responses of 'Never heard of ""Can'trate and ""Refused""  | not shown.  | Source: National Survey of Latinos 2008 ",pew/dataset/imgs/multi_col-7193.png,"Obama is rated favorably by 76% of Latino registered voters, making him much more popular among that voting group than McCain (44% favorable) and President Bush (27% favorable). Hillary Clinton’s ratings among Latino registered voters are 73% favorable and 24% unfavorable; Obama’s are 76% favorable and 17% unfavorable.","The survey finds that three-quarters (76%) of Latino registered voters say they have a favorable view of Barack Obama, while a quarter (24%) view him unfavorably, according to a nationwide survey of Latinos conducted by the Pew Hispanic Center, a project of the Pew Research Center, from June 9 through July 13, 2008.","In another finding that shows the diversity of the Latino population is growing more racially and ethnically diverse than in previous presidential elections. Fully 76% of Latino registered voters express a favorable view of Barack Obama, up from 73% in 2004. About half (47%) of the Latino public also views President Bush favorably, up from 27% in 2004."
315,multi_col-3692.txt,Many see their economy as weak The current economic situation in our country is,Many see their economy as weak  | The current economic situation in our country is  | Bad  | Good  | Canada  | 48%  | 48%  | U.S.  | 54  | 44  | Swed en  | 23  | 76  | 22  | Germany  | 75  | Netherla unds  | 37  | 61  | Poland  | 46  | 49  | UK  | 47  | 47  | Hungary  | 62  | 37  | 66  | 33  | Italy  | 13  | Spa in  | 86  | France  | 86  | Greece  | 97  | China  | 87  | India  | 80  | Australia  | 40  | 57  | 68  | 30  | Ja pan  | Source: Spring 2016 Global Attitudes Survey Q3.  | PEW RESEARCH CENTER ,pew/dataset/imgs/multi_col-3692.png,"Almost a decade after the global financial crisis rattled national economies, many in the world feel their respective countries’ economies remain weak. A new Pew Research Center survey reveals a bleak picture in parts of Europe, with more than eight-in-ten in Greece, France and Spain describing their country’s economic situation as bad. This gloom is not shared by all in the European Union, however – most Swedes, Germans and Dutch say their economy is doing well. And in China, India and Australia, views are mostly positive.
Just three of the 12 nations for which trends are available have seen an increase of public confidence in their national economy in the past year. This mirrors the International Monetary Fund’s projection that 2016’s global growth will be modest and fragile. In two major economies – Canada and Japan – views about economic conditions have become more negative than they were in 2015.","In many countries surveyed, negative views of their economy are linked to views of the national economy. For example, 48% of Canadians say their country’s economic situation is bad. This compares with 44% who say the economy is very good. Swedes are particularly negative, with 76% saying their economy is doing poorly. Greeks are the most likely to rate their economy negatively (97%).","Europeans are also deeply divided on their own economic outlook. When asked to consider their own country’s current and future economic situation, roughly half or more in 14 of 14 countries surveyed say their economy is bad. Half or more in Canada, Sweden, Germany, the Netherlands, Poland, the UK, Hungary and Poland think their economy is in poor shape."
316,multi_col-968.txt,"the Asian immigrant workers are most likely to work in high-skill jobs % of employed foreign- born workers, by importance ofa skill, 2018 Hispanic 11 16 17","the Asian immigrant workers are  | most likely to work in high-skill jobs  | % of employed foreign- born workers, by importance ofa  | skill, 2018  | Most important  | More important  | Less important  | Least important  | Social skills  | White  | 23  | 45  | 18  | 14  | Asian  | 36  | 32  | 20 12  | Black  | 34  | 25  | 22  | 19  | Hispanic  | 21  | 12  | 26  | 40  | Fundamental skills  | White  | 39  | 26  | 17  | 18  | Asian  | 37  | 27  | 15  | 20  | Black  | 28  | 17  | 28  | 27  | Hispanic  | 12  | 15  | 22  | 51  | Analytical skills  | White  | 36  | 24  | 15  | 25  | Asian  | 42  | 19  | 12 27  | Black  | 23  | 18 14  | 45  | Hispanic 11 16 17  | 57  | Managerial skills  | White  | 39  | 25  | 17  | 19  | Asian  | 34  | 30  | 14 22  | Black  | 27  | 19  | 24  | 30  | Hispanic  | 17  | 15  | 23  | 45  | Mechanical skills  | White 8  | 21  | 37  | 33  | Asian 21  | 41  | 32  | Black 9 20  | 47  | 24  | Hispanic 12  | 42  | 27  | 19  | Note: Figures may not add to 100% due to rounding. Full- and part-  | time workers ages 16 and older. White black and Asian adults  | include those who report being only one race and are non-Hispanic.  | Hispanics are of any race Asians include Pacific slanders.  | Occupations are ranked by the ratings for skill, and those in the  | highest quartile of a skill are ones in which that skill is most  | important. A skill is more important"" in occupations in the second  | highest quartile ""less important"" in occupations in the third highest  | quartile and ""least important"" in occupations in the lowest quartile.  | An occupation may rank at the top or the bottom with respect to  | more than one skill  | Source: Pew Research Center analysis of 0*NET (Version 23) and  | 2018 Current Population Survey (IPUMS). 0*NET  | PEW RESEARCH CENTER ",pew/dataset/imgs/multi_col-968.png,"In 2018, Asian and white immigrants were much more likely than Hispanic and black immigrants to work in nonmechanical, high-skill occupations. For example, 42% of Asian immigrants and 36% of white immigrants worked in jobs where analytical skills are most important, such as chemical engineers and computer programmers, compared with 23% of black immigrants and just 11% of Hispanic immigrants. There were similar differences in jobs in which fundamental and managerial skills are most important. White immigrants were more likely than those in other groups to work in jobs prioritizing social skills.
Hispanic immigrants are most likely to be employed in lower-skill nonmechanical occupations. In 2018, the majority of Hispanic immigrants worked in occupations where analytical (57%) and fundamental (51%) skills are least important, and four-in-ten or more worked in occupations in which social or managerial skills are least important. These shares were significantly higher than those among other immigrant groups. For example, about one-in-five or fewer black, white and Asian immigrants were employed in occupations where social skills were least important.","The share of foreign-born workers who are most likely to work in occupations that draw most importance on a number of high-skill skills also is higher among Asian workers. About half (51%) of employed Asian workers say the same about the importance of a skill to teach people how to use computers, cell phones and the internet. Among those in the lowest quartile (ages 16 and older), fewer say a skill is more important (40%) or is less important (17%).","The importance of specific skills to workers is driven largely by racial and ethnic differences, across occupations. White adults are more likely than Asians to place more importance on specific skills, whereas Black adults and Asians are more likely than White adults to place more importance on specific skills. In 2018, 46% of Asian workers ages 16 and older said a high-skill skill was more important, compared with 36% of white adults and 34% of Hispanic workers. By contrast, only about half of white workers (42%) and Asian workers (35%) ranked higher than the highest-"
317,multi_col-1128.txt,Muslims and Hindus live in biggest households Average individual resides in a household of,Muslims and Hindus live in biggest  | households  | Average individual resides in a household of  | people  | Muslims  | 6. .4  | Hindus  | 5.7  | Christians  | 4.5  | Buddhists  | 3.9  | Unaffiliated  | 3. 7  | Jews  | 3 7  | All  | 4.9  | Source: Pew Research Center analysis of 2010-2018 census and  | survey data See Methodology for details  | il Religion and Living Arrangements Around the World  | PEW RESEARCH CENTER ,pew/dataset/imgs/multi_col-1128.png,"Christians, Muslims, Hindus, Buddhists, Jews and the religiously unaffiliated around the world are distributed in different ways across household types and sizes. And there are noticeable variations among these groups within regions and even within single countries.
Worldwide, Muslims live in the biggest households. The average Muslim lives in a home of 6.4 people, followed by Hindus (5.7), Christians (4.5), Buddhists (3.9), the religiously unaffiliated – also known as “nones” (3.7) – and Jews (3.7). In the 15 countries in the study that have the world’s biggest households, Islam is the largest religion in all but one (Benin), and these nations are all in Africa, the Middle East and Asia. Christians and the religiously unaffiliated are the largest groups in the 15 countries with the smallest households, which are all in Europe, with the exception of South Korea. For all people, households are biggest in sub-Saharan Africa (6.9) and smallest in Europe (3.1).","Overall, Muslims are more likely than Hindus to live in the biggest households. For example, an average individual of 6.4 people live in a household of four people, compared with 5.7 for Christians and 3.9 for Buddhists. This arrangement is especially common among Jews.","Muslims and Hindus live in the biggest American households, more than twice the size of all major religious groups. In 2018, a median of 6.4 Muslims and 5.7 Hindus lived together in a typical American household, compared with a median of 3.5 Hindus and 3.5 Christians."
318,multi_col-2490.txt,Three-in-ten say increased outsourcing of jobs has hurt their job or career % saying each of the following has done more to,"Three-in-ten say increased outsourcing  | of jobs has hurt their job or career  | % saying each of the following has done  | more to  | Help their Hurt their job  | job or career or career  | Increased jobs outsourcing of  | 30%  | jobs to other outsourcing countries  | Growing number of  | 15  | 22  | immigrants Growing working in U.S.  | More forer gn- made  | 10  | 20  | products being sold gn- in U.S.  | Automation of jobs  | 23  | 19  | Growing emphasis on  | 30  | diversity In the workplace  | More women in workforce 30  | More U.S made products  | 23  | being sold abroad  | Note: Based on those who are employed, unemployed but  | looking for work or who have looked but couldn't find a job.  | Majorities (not shown here) say these trends haven it made  | much of a difference for their job or career.  | Source: Survey of U.S adults conducted Aug 8-21 and Sept  | 14 28, 2017  | PEW RESEARCH CENTER ",pew/dataset/imgs/multi_col-2490.png,"Among Americans who are employed or have been looking for work, increased outsourcing of jobs to other countries tops the list of trends they say have hurt their job or career. Three-in-ten say this is the case, compared with roughly one-in-five (22%) who say the same about the growing number of immigrants working in the U.S. and 20% who blame a rise in imports. Overall, however, majorities say these factors haven’t made much difference in their job or career.","About three-in-ten U.S. adults (30%) say increased employment to other countries has had a negative impact on their job or career. About three-quarters (77%) say the growing number of foreign-born immigrants has had an impact on the way they do their job and career. And just 15% say each of these trends has hurt their own job or Career. When it comes to the impact of automation on products being sold abroad, a majority of Americans (62%) say these trends have had a positive impact.","Many Americans see increased outsourcing of jobs as having hurt their job or career. About three-in-ten Americans (31%) say outsourcing of jobs has had a negative impact on their job or career, while just 15% say it has hurt their job or career."
319,multi_col-5436.txt,Record Anti -Incumbency Mood Would like to see the your representative in Congress re-elected in the next your election representative,"Record Anti -Incumbency Mood  | Would like to see the your representative in Congress  | re-elected in the next your election representative  | 66  | 62  | 58  | 57  | 52  | 49  | 48  | Yes  | 38  | No  | 29  | 29  | 25  | 23  | 22  | 22  | 1990 1994 1998 2002 2006 2010 2014  | PEW RESEARCH CENTER Oct, 9-13 2013 Q10,  | Based on registered voters 1990 Data from earliest Gallup surveyin each  | Based midterm on election registered cycle; voters 1990 Data data from from earliest Gallup ",pew/dataset/imgs/multi_col-5436.png,"Last fall, a Pew Research Center survey also found record anti-incumbent sentiment, though it went about measuring it somewhat differently. We asked registered voters whether or not they’d like to see their representative re-elected in the next election. Fully 38% said no, the highest level for that response in the two decades we have been asking that question.",The share of Americans saying they do not want their own representative in Congress reelected – 38% – is at its highest point in two decades.,"The grim public mood is reflected in the record share of voters who want most members of Congress defeated in next year’s midterm elections. Nearly three-quarters (74%) of registered voters would like to see most members of Congress defeated; during the 2010 and 2006 election cycles, which both culminated in shifts in control of the House, no more than 57% in each of these two cycles wanted most members of Congress not to be reelected."
320,multi_col-6292.txt,News Interest vs. News Coverage News Interest,"News Interest vs. News Coverage  | News Interest  | News Coverage  | Death of Trayvon Martin  | 25  | 19  | 2012 elections  | 16  | 17  | Economy  | 15  | 6  | Killings in Afghanistan  | 12  | 8  | NFL/N. O. Saints  | Killings in France  | News interest shows the percentage ofpeople who say they followed this 2012 story most  | closely, Pew shows Research the Center for ofnews the People & the Press devoted March each 22-25 story, 2012 News  | coverage shows the percentage ofnews People coverage devoted March to each story, Pew  | Research coverage Center's the Project percentage for Exce Ilence inJournalism, coverage March each 19-25, story, 2012, ",pew/dataset/imgs/multi_col-6292.png,"The growing controversy over the shooting death of 17-year-old Trayvon Martin in Florida was the public’s top story last week, though African Americans express far greater interest in news about the killing than do whites.
Overall, a quarter of Americans (25%) say they followed news about the African American teenager killed by a community watch volunteer more closely than any other story. Smaller percentages say they followed news about the presidential elections (16%) or the economy (15%) most closely, according to the latest weekly News Interest Index survey, conducted March 22-25, 2012, among 1,003 adults by the Pew Research Center for the People & the Press.","With a Florida judge clearing the way for George Zimmerman to get out of jail on bail, developments in the case against the man charged in the killing of Trayvon Martin topped Americans’ news interest last week.","The public continued to focus most closely on news about the death of Trayvon Martin, while the presidential campaign topped coverage."
321,multi_col-4573.txt,"In Public's View, GOP-Led Congress Fails to Impress % who say in Congress are keeping campaign promises.. Reps 1995 Dems 2007 Reps 2011 Reps 2015 In itsfirst 100 days, has new Congress accomplished...","In Public's View, GOP-Led Congress  | Fails to Impress  | % who say  | in Congress are keeping campaign  | promises..  | 59  | 40  | 33  | 23  | Reps 1995 Dems 2007 Reps 2011 Reps 2015  | In itsfirst 100 days, has new Congress accomplished...  | More than expected  | About what expected  | Less tha n expected  | 18  | 53  | 64  | 65  | 37  | 19  | 12  | Reps 1995 Dems 2007  | Reps 2015  | Survey conducted May 12-18 2015  | PEW RESEARCH CENTER ",pew/dataset/imgs/multi_col-4573.png,"The new Republican-led Congress is drawing harsh reviews from the public – including most Republicans. Just 23% of Americans say congressional Republicans are keeping the promises they made during last fall’s campaign, while 65% say they are not.","As the new Congress heads into its first 100 days, the public continues to say that the GOP-led Congress is doing more than expected in keeping campaign promises. About six-in-ten (59%) say the GOP is keeping its campaign promises, while 33% say it is doing less than expected.","For the first time, a majority of Americans say the Republican Congress is not keeping its campaign promises. More than twice as many (59%) say Congress is keeping its promises in its first 100 days – less than expected in the past year."
